year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2012,Bankstown 132_11kV,01MAY2011,MW,5.58566,5.58566,5.58566,5.58566,5.58566,5.34671,5.13762,5.13762,4.97333,4.64476,4.64476,4.64476,4.24152,4.16685,4.16685,4.16685,4.16685,4.16685,3.95776,3.76360,3.76360,3.76360,3.76360,4.21165,4.24152,4.18178,3.83828,3.83828,4.13698,4.33113,4.33113,4.33113,4.49541,4.83892,4.83892,4.91359,5.21229,5.24216,5.34671,5.64540,5.74995,5.74995,5.74995,5.85449,5.74995,5.74995,5.74995,5.74995,6.10839,6.10839,6.00384,5.91423,5.86943,5.83956,5.85449,5.67527,5.67527,5.67527,5.67527,5.67527,5.67527,5.67527,5.67527,5.67527,5.67527,5.67527,5.67527,5.67527,5.70514,6.21293,6.49670,6.66098,6.66098,6.66098,6.66098,6.57137,6.25774,6.25774,6.25774,6.25774,6.25774,6.25774,6.25774,6.25774,6.25774,5.74995,5.85449,5.85449,5.98891,6.31748,6.31748,6.31748,6.31748,6.31748,6.31748,6.31748
2012,Bankstown 132_11kV,02MAY2011,MW,6.07852,5.85449,5.85449,5.98891,5.88436,5.64540,5.45125,5.45125,5.45125,5.45125,5.15255,5.04801,5.04801,5.04801,5.19736,4.97333,4.89866,4.94346,4.97333,5.37658,5.57073,5.88436,5.94410,6.43696,7.04929,7.40773,8.55772,9.48368,10.66354,11.69405,12.09729,12.67976,13.02326,13.36676,13.59079,13.63559,13.91936,13.71027,13.71027,14.21805,14.26286,14.21805,14.24792,14.29273,14.27779,14.68104,14.78558,14.50182,13.99403,13.69533,13.57585,14.06871,14.18818,14.24792,13.94923,14.20312,14.05377,14.05377,13.32196,14.12844,13.91936,13.47131,12.97846,12.70963,11.90314,11.79860,11.48496,11.49990,10.81289,10.76809,11.02198,10.60380,10.24536,10.15575,9.82718,9.75251,9.75251,9.61810,9.08044,8.94602,8.64733,8.57265,8.57265,8.48304,8.09473,7.69149,7.66162,7.69149,7.43760,7.87071,7.72136,8.06486,7.81097,7.43760,7.52721,7.19864
2012,Bankstown 132_11kV,03MAY2011,MW,7.10903,6.89994,6.72072,6.72072,6.36228,6.31748,6.31748,6.31748,5.91423,5.82462,5.40645,5.13762,5.24216,5.24216,5.55579,5.13762,5.21229,5.24216,5.49605,5.91423,6.04865,6.06358,6.48176,6.73565,7.64668,8.22915,9.14018,10.05121,11.03691,12.08236,12.63495,13.00833,13.50118,13.56092,14.11351,14.47195,14.39727,14.51675,14.42714,14.65117,14.47195,14.75571,14.66610,14.59143,14.47195,14.83039,14.66610,14.68104,14.11351,13.78494,13.87455,14.21805,13.93429,14.15831,14.41221,14.33753,14.27779,14.50182,14.45701,14.41221,14.30766,13.99403,13.20248,12.66482,12.14210,12.17197,11.96288,11.79860,11.17133,11.02198,11.09665,10.78302,10.57393,10.52913,10.32004,10.18562,9.84212,9.78238,9.64797,9.27459,9.27459,9.08044,8.90122,8.81161,8.43824,8.30382,8.30382,8.27395,8.10967,7.94538,7.73629,8.12460,7.93045,7.69149,7.42266,7.21357
2012,Bankstown 132_11kV,04MAY2011,MW,7.12396,6.69085,6.45189,6.60124,6.57137,6.25774,6.13826,5.70514,5.80969,5.66034,5.40645,5.40645,5.40645,5.07788,5.40645,5.13762,5.16749,5.18242,5.43631,6.06358,6.07852,6.21293,6.34735,6.81033,7.63175,8.37850,9.09537,9.93173,11.27587,12.03755,12.70963,13.11287,13.57585,13.77001,13.91936,13.84468,13.96416,13.81481,13.69533,14.00897,13.90442,14.15831,14.24792,14.27779,14.45701,14.78558,14.48688,14.32260,13.74014,13.53105,13.24728,13.29209,13.41157,13.68040,13.66546,13.65053,14.03884,14.12844,13.69533,13.56092,13.60572,13.29209,12.78430,12.17197,11.94794,11.66418,11.32068,11.26094,10.78302,10.78302,10.73822,10.34991,10.34991,10.00640,9.97653,9.91679,9.91679,9.73758,9.51355,9.27459,9.03563,8.97589,8.63239,8.63239,8.46811,8.13954,8.09473,8.09473,8.09473,8.09473,7.96032,8.22915,8.07980,7.63175,7.63175,7.33305
2012,Bankstown 132_11kV,05MAY2011,MW,7.06422,6.79539,6.75059,6.81033,6.52656,6.34735,5.98891,5.98891,5.98891,5.88436,5.45125,5.45125,5.45125,5.45125,5.45125,5.42138,5.07788,5.28697,5.58566,5.86943,6.31748,6.31748,6.60124,6.97461,7.72136,8.48304,9.15511,10.00640,11.12652,12.09729,12.48560,13.29209,13.35183,13.45637,13.79988,13.74014,13.93429,13.90442,13.65053,14.15831,14.18818,14.08364,14.45701,14.48688,14.48688,14.68104,14.93493,14.78558,14.00897,13.66546,13.78494,13.91936,13.88949,14.20312,14.20312,14.20312,14.29273,14.41221,14.35247,14.12844,13.75507,13.54598,13.15767,12.76937,11.96288,11.63431,11.63431,11.45509,11.21613,10.81289,11.03691,11.18626,10.70835,10.79796,10.73822,10.99211,10.60380,10.39471,10.06614,9.88692,9.66290,9.48368,9.48368,9.48368,9.30446,9.00576,8.94602,8.63239,8.88628,8.90122,8.69213,8.94602,8.57265,8.24408,8.09473,7.52721
2012,Bankstown 132_11kV,06MAY2011,MW,7.19864,6.91487,6.79539,6.79539,6.79539,6.72072,6.31748,6.31748,6.31748,5.92917,5.85449,5.85449,5.55579,5.45125,5.70514,5.49605,5.37658,5.37658,5.92917,6.42202,6.55643,6.57137,6.81033,7.40773,8.19928,8.93109,9.43888,10.75315,11.96288,12.59015,13.03819,13.45637,13.65053,14.14338,14.11351,14.21805,14.17325,14.14338,14.09858,14.00897,13.96416,14.02390,13.91936,14.11351,13.90442,14.23299,14.30766,14.18818,13.57585,13.27715,13.15767,13.24728,12.75443,13.12780,12.99339,12.76937,12.57521,12.39599,12.39599,12.24664,12.09729,11.99275,11.67912,11.48496,11.12652,10.70835,10.73822,10.72328,10.42458,10.52913,10.45445,10.36484,9.91679,9.91679,9.48368,9.08044,9.08044,8.85641,8.67720,8.63239,8.27395,8.06486,8.06486,8.06486,7.52721,7.52721,7.25838,7.12396,7.07916,7.42266,7.43760,7.55708,7.55708,7.10903,7.46747,6.98955
2012,Bankstown 132_11kV,07MAY2011,MW,6.87007,6.48176,6.48176,6.48176,6.19800,5.85449,5.91423,5.91423,5.66034,5.15255,5.10775,5.10775,4.98827,4.86879,4.86879,4.86879,4.73437,4.62983,4.76424,4.95840,5.13762,5.13762,5.13762,5.21229,5.89930,6.16813,6.30254,6.49670,6.55643,7.00448,7.42266,7.37786,8.12460,8.15447,8.33369,8.33369,8.33369,8.54278,8.48304,8.54278,8.45317,8.51291,8.54278,8.69213,8.84148,8.67720,8.36356,8.33369,7.90058,7.69149,7.34799,7.46747,7.36292,7.22851,7.12396,7.36292,7.28825,6.95968,6.78046,6.88500,6.88500,6.88500,6.88500,6.88500,6.88500,6.75059,6.82526,6.82526,6.82526,7.06422,7.27331,7.37786,7.25838,7.25838,7.25838,7.25838,7.06422,6.75059,6.75059,6.75059,6.52656,6.34735,6.34735,6.34735,6.34735,6.10839,5.94410,5.94410,6.06358,6.45189,6.48176,6.64604,6.45189,6.30254,6.39215,6.33241
2012,Bankstown 132_11kV,08MAY2011,MW,6.01878,6.01878,5.86943,5.98891,5.72008,5.54086,5.67527,5.60060,5.27203,5.00320,4.73437,4.73437,4.73437,4.73437,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.33113,4.57009,4.77918,4.77918,5.18242,5.21229,5.28697,5.54086,5.54086,5.88436,5.94410,5.94410,5.94410,5.94410,5.94410,5.94410,5.76488,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.54086,5.49605,5.54086,5.54086,5.54086,5.72008,5.94410,5.94410,6.06358,6.39215,6.39215,6.39215,6.39215,6.39215,6.39215,6.39215,6.39215,6.39215,6.39215,6.39215,6.39215,6.39215,5.95904,5.94410,5.94410,5.94410,5.94410,6.07852,6.39215,6.51163,6.82526,6.55643,6.31748,6.31748,6.31748
2012,Bankstown 132_11kV,09MAY2011,MW,6.31748,6.22787,5.80969,5.80969,5.80969,5.80969,5.80969,5.80969,5.46618,5.19736,4.77918,4.77918,4.77918,4.77918,4.77918,4.77918,4.51035,4.37593,4.62983,5.27203,5.30190,5.77982,6.22787,6.57137,7.28825,8.12460,8.60252,9.57329,11.14146,11.82847,12.45573,12.84404,13.15767,13.51611,13.84468,13.79988,13.88949,13.88949,13.84468,13.93429,13.94923,14.08364,14.32260,14.38234,14.38234,14.30766,14.33753,13.97910,13.88949,13.72520,13.57585,13.69533,13.77001,13.79988,13.87455,13.90442,14.15831,13.91936,13.85962,13.63559,13.33689,12.85898,12.57521,12.62002,12.03755,11.79860,11.79860,11.44016,11.23107,10.96224,11.12652,10.99211,10.75315,10.46939,10.17069,10.21549,10.21549,9.94666,9.58823,9.21485,9.21485,9.19992,8.81161,8.81161,8.55772,8.46811,8.28889,8.06486,7.75123,8.09473,7.93045,8.06486,7.81097,7.42266,7.49734,6.89994
2012,Bankstown 132_11kV,10MAY2011,MW,6.72072,6.40709,6.21293,6.21293,6.21293,6.04865,5.77982,5.77982,5.77982,5.77982,5.31684,5.27203,5.27203,5.27203,5.27203,4.80905,4.80905,4.80905,5.01814,5.73501,5.95904,6.55643,7.25838,7.33305,8.18434,8.84148,9.76745,10.63367,12.12716,12.97846,13.59079,14.14338,14.62130,14.77065,15.06935,15.12909,15.18883,15.00961,14.71091,14.78558,14.80052,14.90506,14.99467,14.93493,15.15896,15.12909,15.11415,14.90506,14.14338,13.97910,13.88949,14.06871,14.17325,14.32260,14.38234,14.38234,14.17325,14.30766,13.62066,13.97910,13.53105,13.29209,12.97846,12.47067,12.00768,11.75379,11.72392,11.78366,11.27587,11.69405,11.72392,11.72392,11.24600,11.20120,11.15639,10.94730,10.93237,10.61874,10.61874,10.21549,10.15575,10.14082,9.52849,9.81225,9.49862,9.09537,8.94602,8.94602,8.94602,8.94602,8.79667,8.97589,8.57265,8.04993,8.16941,7.88564
