year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Salt Ash 33_11kV,01MAY2012,MW,0.92726,0.88222,0.84381,0.81506,0.71570,0.65107,0.65737,0.64834,0.64285,0.66785,0.66144,0.60863,0.61661,0.62533,0.61359,0.61677,0.60941,0.62295,0.62055,0.62293,0.65696,0.70074,0.83283,0.80009,0.87513,0.99354,1.05774,1.09256,1.03790,1.14703,1.11304,1.07525,1.08471,1.11049,1.10691,1.03299,0.86029,0.79079,0.87900,0.96920,0.95980,0.94155,0.96972,0.87959,0.82949,0.82617,0.88301,0.88236,0.87990,0.83045,0.70293,0.71747,0.79034,0.87952,0.85391,0.90943,0.91775,0.90816,0.88069,0.85354,0.74020,0.74299,0.78491,0.79005,0.85341,0.93764,0.97808,0.95754,1.01571,1.18505,1.22800,1.26580,1.29548,1.27174,1.18869,1.18077,1.16902,1.14105,1.17448,1.16286,1.11850,1.10285,1.10743,1.10056,1.14212,1.08083,1.06415,1.03429,1.01356,0.98567,0.96625,0.90301,1.03131,1.01295,0.96643,0.90744
2013,Salt Ash 33_11kV,02MAY2012,MW,0.88164,0.83543,0.81257,0.75746,0.73665,0.69293,0.68374,0.66027,0.63758,0.67128,0.65054,0.61988,0.57490,0.60510,0.59993,0.59988,0.58579,0.59780,0.64375,0.62648,0.66808,0.72459,0.75160,0.78787,0.87116,0.90827,0.98047,0.94217,0.97052,0.95903,0.97340,0.93402,0.96245,0.99936,1.01058,0.92465,0.82307,0.80637,0.85045,0.90518,0.84588,0.82671,0.80382,0.82344,0.80557,0.77979,0.80643,0.81395,0.82699,0.80868,0.75362,0.74137,0.82524,0.85542,0.89510,0.87132,0.84919,0.86004,0.82078,0.81705,0.80122,0.83502,0.84741,0.77984,0.79302,0.81942,0.90718,0.99828,1.03935,1.19780,1.20391,1.19496,1.20734,1.16902,1.07151,1.06700,1.06848,1.08138,1.11076,1.14345,1.10150,1.02472,1.02606,0.98078,0.98239,0.97773,1.02883,1.00045,1.00743,0.96589,0.92226,0.87682,1.03614,1.00106,0.95428,0.87605
2013,Salt Ash 33_11kV,03MAY2012,MW,0.82459,0.75018,0.77700,0.69755,0.66777,0.63319,0.62876,0.62283,0.62180,0.65578,0.66777,0.56754,0.58058,0.58423,0.56509,0.59699,0.56533,0.59571,0.57699,0.59578,0.61344,0.64358,0.64801,0.67918,0.79682,0.82904,0.89194,0.92717,0.95109,0.98838,1.04982,1.02676,0.96927,0.99394,0.96464,0.92436,0.83838,0.77849,0.84977,0.93410,0.97140,0.97591,0.99019,0.94544,0.90646,0.93961,0.91938,0.89412,0.92433,0.93322,0.77626,0.76965,0.86747,0.97078,0.92646,0.90837,0.94160,0.92175,0.93743,0.90033,0.75376,0.78506,0.77045,0.80338,0.83257,0.86467,0.91832,0.93205,0.97326,1.12264,1.18988,1.26015,1.23699,1.25803,1.17062,1.16111,1.13907,1.10143,1.09335,1.09418,1.08800,1.10080,1.05228,1.08666,1.07739,1.06111,1.11361,1.07241,1.03657,0.99374,0.97706,0.89974,1.03093,1.06683,0.99223,0.93784
2013,Salt Ash 33_11kV,04MAY2012,MW,0.88790,0.82072,0.85587,0.77742,0.73356,0.68075,0.66534,0.61964,0.62671,0.62193,0.59414,0.58530,0.62188,0.66801,0.64897,0.58011,0.59985,0.60879,0.64897,0.62756,0.65490,0.69045,0.67136,0.70841,0.82483,0.86566,1.00740,0.96096,0.95757,1.00500,1.03757,1.02158,1.06621,1.07714,1.06803,1.03110,0.88111,0.83281,0.82582,0.93867,0.94860,0.89498,0.92577,0.93204,0.97848,0.96698,0.92862,0.94525,0.93244,0.86518,0.74842,0.78361,0.79770,0.78998,0.78626,0.80643,0.76891,0.77004,0.72933,0.72699,0.72872,0.72821,0.71543,0.78005,0.76376,0.82357,0.91564,0.94892,0.98473,1.07854,1.17301,1.21865,1.19367,1.20045,1.20556,1.17994,1.13255,1.13505,1.15473,1.14052,1.13886,1.11029,1.16790,1.13103,1.12723,1.10695,1.14721,1.16461,1.14996,1.06347,1.03181,0.98158,1.17299,1.16097,1.10073,1.04706
2013,Salt Ash 33_11kV,05MAY2012,MW,0.99723,0.89556,0.83100,0.79607,0.77041,0.73993,0.71953,0.67606,0.64455,0.65599,0.65860,0.64083,0.65188,0.67429,0.62225,0.61666,0.63766,0.63223,0.66534,0.71018,0.67086,0.70309,0.70569,0.72863,0.77086,0.84754,0.89004,0.93441,0.96416,1.04262,1.03509,1.03795,1.07538,1.15185,1.16268,1.16268,1.07782,1.09776,1.11330,1.12729,1.08103,1.06785,1.05546,0.97669,0.98239,1.03960,1.03905,0.94362,0.92847,0.94757,0.99303,1.00163,0.96054,0.91648,0.92904,0.97036,0.89631,0.91695,0.89670,0.88860,0.92153,0.88182,0.87933,0.87312,0.89189,0.92142,1.00790,1.06206,1.13309,1.26019,1.34935,1.37009,1.31902,1.29215,1.28472,1.24956,1.20790,1.17896,1.17283,1.12490,1.09596,1.09843,1.05319,1.04497,1.04793,1.04396,1.08904,1.01075,1.00740,1.00422,0.98351,0.92340,1.06672,1.05197,0.96308,0.86167
2013,Salt Ash 33_11kV,06MAY2012,MW,0.88642,0.77177,0.77466,0.75562,0.71238,0.65920,0.63455,0.60716,0.64329,0.64916,0.65848,0.63494,0.67658,0.67301,0.66261,0.63637,0.62401,0.63723,0.65781,0.65871,0.65296,0.66064,0.67232,0.68983,0.71262,0.76554,0.81040,0.84883,0.86484,0.89857,0.92719,0.96878,1.00138,1.00258,0.97097,1.02315,1.01070,1.01151,0.98596,1.02761,1.00549,0.94538,0.97603,0.97012,0.95603,0.92169,0.85773,0.77673,0.81366,0.85627,0.91213,0.88858,0.83936,0.84711,0.87052,0.84799,0.88270,0.86748,0.87378,0.87686,0.86793,0.82730,0.81529,0.87714,0.90339,0.94757,0.98448,1.07298,1.21868,1.34168,1.37897,1.39093,1.35513,1.34568,1.35976,1.34133,1.31273,1.28114,1.27769,1.28959,1.22166,1.20272,1.16687,1.09254,1.07815,1.02393,1.04785,0.99755,1.03749,1.00189,0.93200,0.84628,0.96650,0.94293,0.87702,0.82670
2013,Salt Ash 33_11kV,07MAY2012,MW,0.80631,0.77582,0.76700,0.74790,0.70229,0.68553,0.62842,0.61677,0.66548,0.69733,0.66909,0.67253,0.67162,0.62556,0.61501,0.62784,0.62447,0.63095,0.61953,0.68054,0.67897,0.72494,0.74858,0.82306,0.83930,0.94321,1.04166,1.13592,1.12312,1.07915,1.12576,1.21365,1.21944,1.26663,1.26680,1.23557,1.08368,1.02800,1.10734,1.18212,1.14402,1.09588,1.05296,1.04117,1.04035,1.06351,1.05282,1.06674,1.05919,1.04545,0.92337,0.89856,1.00026,0.98205,1.00482,0.95952,0.91861,0.96892,0.94024,0.88416,0.81847,0.85740,0.86449,0.90082,0.98257,1.02463,1.08969,1.25383,1.25992,1.33768,1.40680,1.43114,1.43925,1.39868,1.39022,1.34835,1.36593,1.35654,1.34449,1.35808,1.33983,1.30127,1.27765,1.26480,1.28601,1.22214,1.23028,1.21225,1.18917,1.12284,1.09092,1.05446,1.14158,1.14780,1.09347,1.04728
2013,Salt Ash 33_11kV,08MAY2012,MW,1.01766,0.96383,0.94674,0.90434,0.83736,0.78082,0.74235,0.69401,0.66552,0.69310,0.70482,0.66593,0.66521,0.62690,0.64261,0.61975,0.63692,0.63269,0.65292,0.67149,0.68358,0.73638,0.74490,0.80276,0.86487,1.01968,1.05276,1.08645,1.07744,1.12353,1.11544,1.13441,1.14914,1.14929,1.10474,1.06751,0.88886,0.85097,0.90777,0.94897,0.95998,0.92185,0.91600,0.96462,0.92624,0.97644,0.93240,0.94804,0.90915,0.91327,0.78500,0.82419,0.89857,0.95847,0.91159,0.91266,0.89254,0.86908,0.89491,0.85890,0.77725,0.76069,0.81001,0.85129,0.88460,0.91571,0.99872,1.09404,1.10618,1.23890,1.31316,1.42383,1.43002,1.38650,1.37211,1.30866,1.32628,1.33257,1.33406,1.35478,1.30542,1.29446,1.27625,1.25059,1.24756,1.19262,1.16010,1.15892,1.14171,1.07521,1.05314,1.00253,1.14406,1.14523,1.07177,1.01658
2013,Salt Ash 33_11kV,09MAY2012,MW,0.99418,0.95667,0.94746,0.84474,0.76579,0.72979,0.71845,0.69357,0.71527,0.73902,0.70720,0.66744,0.69012,0.64912,0.61694,0.63542,0.64846,0.67696,0.68147,0.71375,0.71985,0.77380,0.76823,0.87471,0.97339,1.07188,1.08311,1.09992,1.05445,1.05702,1.10846,1.16077,1.16062,1.13314,1.07224,1.09932,0.97032,0.85095,0.85753,1.01498,0.98850,0.90635,0.89833,0.90421,0.91428,0.90566,0.87045,0.82984,0.76342,0.77739,0.73967,0.75011,0.76956,0.76586,0.80352,0.83925,0.76993,0.82533,0.84036,0.84235,0.76058,0.79349,0.80170,0.79861,0.84727,0.89412,0.94133,1.03534,1.14233,1.23112,1.30216,1.32456,1.26380,1.24416,1.22116,1.23506,1.22730,1.18934,1.20904,1.22128,1.23094,1.15904,1.13993,1.15824,1.11882,1.10434,1.14868,1.08261,1.10144,1.04276,1.01329,0.92697,1.04279,1.07058,1.01286,0.96566
2013,Salt Ash 33_11kV,10MAY2012,MW,0.93023,0.90317,0.91822,0.81613,0.72903,0.71011,0.66632,0.68157,0.70942,0.70721,0.66362,0.63990,0.66231,0.61040,0.62749,0.64561,0.62975,0.67844,0.63856,0.67623,0.75289,0.77119,0.82773,1.69081,2.37782,3.06499,3.92585,4.31266,4.10005,4.16955,4.12302,4.19657,4.10556,3.97872,3.96977,3.86681,3.70665,3.59122,3.56329,3.64883,3.61692,3.47765,3.38392,3.26545,3.26192,3.21348,3.20603,3.18289,3.10725,3.10744,3.14555,3.14859,3.11871,3.18411,3.18353,3.20525,3.16993,3.18180,3.20282,3.28407,3.27403,3.23572,3.31099,3.36607,3.48741,3.65074,3.78363,4.08266,4.27797,4.81761,5.13658,5.36974,5.25316,5.24757,5.19789,5.10650,4.84254,4.85995,4.86273,4.85350,4.72434,4.63083,4.66436,4.71884,4.75141,4.64827,5.01947,4.98846,4.97054,4.94473,4.74108,4.54971,5.49680,5.29832,4.88006,4.51775
2013,Salt Ash 33_11kV,11MAY2012,MW,4.23338,3.95128,3.91397,3.53412,3.32194,3.07580,2.84051,2.81010,2.67846,2.73825,2.67409,2.49771,2.43561,2.36116,2.38127,2.36350,2.35510,2.44442,2.49196,2.48166,2.79182,2.97566,3.14259,3.29584,3.61551,3.78202,4.10931,4.14658,3.97478,3.95055,3.87908,3.84421,3.95178,4.04554,3.99063,3.72143,3.52303,3.54814,3.48405,3.52779,3.51840,3.45034,3.34906,3.36273,3.17903,3.06987,3.02745,3.11189,3.13509,3.12389,3.14077,3.01866,3.12159,3.22172,3.24986,3.24525,3.27839,3.29720,3.28500,3.34308,3.30855,3.19346,3.28208,3.39197,3.52284,3.66292,3.84095,4.05063,4.26404,4.83318,5.05177,5.12404,5.10674,5.16116,5.02643,4.80919,4.62805,4.52527,4.57638,4.69592,4.63824,4.56913,4.67161,4.72090,4.63765,4.61229,4.91229,5.02350,5.14938,5.02362,4.78844,4.47349,5.58375,5.46724,5.10044,4.74526
2013,Salt Ash 33_11kV,12MAY2012,MW,4.42080,3.91271,3.94800,3.73076,3.53219,3.24956,3.02636,2.91929,2.77722,2.68539,2.57508,2.54868,2.45086,2.47437,2.43143,2.47861,2.43381,2.37728,2.34624,2.52488,2.65017,2.77437,2.75368,2.87379,3.01275,3.09805,3.32120,3.56789,3.70859,3.90708,4.04088,4.11418,4.06783,4.22373,4.32930,4.29275,4.22258,4.39443,4.44102,4.38773,4.23808,4.09115,3.96281,3.95110,3.85357,3.80495,3.78979,3.77988,3.75251,3.38230,2.87736,2.43903,2.40443,2.46428,2.42327,2.19636,1.55394,0.86575,0.86197,0.87606,0.90169,0.88325,0.84987,0.88396,0.92820,0.98561,1.03901,1.09299,1.12318,1.25992,1.26344,1.36365,1.40984,1.38279,1.34092,1.30794,1.25637,1.21684,1.21132,1.24638,1.21056,1.18216,1.14074,1.08591,1.11618,1.06128,1.14607,1.09610,1.11809,1.05272,1.02054,1.01716,1.09883,1.06474,0.95508,0.90041
2013,Salt Ash 33_11kV,13MAY2012,MW,0.89398,0.82403,0.80260,0.77198,0.73513,0.70016,0.69598,0.67205,0.67043,0.66737,0.65975,0.70424,0.70500,0.64580,0.64878,0.63856,0.67993,0.66641,0.66701,0.68308,0.65654,0.66116,0.65845,0.71923,0.74184,0.80914,0.80918,0.83554,0.82844,0.89969,0.93055,1.04013,1.06866,1.12448,1.10883,1.13352,1.15994,1.14065,1.12684,1.11910,1.07021,1.04802,1.03425,1.01880,0.95654,1.04495,1.01029,0.96246,0.94694,0.96761,0.89120,0.90590,0.88820,0.86519,0.88081,0.88424,0.85757,0.87835,0.86021,0.92318,0.86787,0.88763,0.92388,0.94321,0.99774,1.03131,1.06374,1.14333,1.20599,1.36177,1.36743,1.38019,1.39802,1.35703,1.33634,1.37461,1.37973,1.29265,1.27480,1.27608,1.29517,1.29531,1.20432,1.14238,1.09280,1.03590,1.06760,1.01607,1.00250,0.94690,0.92234,0.87363,0.98263,1.00291,0.92477,0.85940
2013,Salt Ash 33_11kV,14MAY2012,MW,0.87301,0.80123,0.73578,0.72245,0.74129,0.69293,0.65373,0.62702,0.66300,0.66430,0.69069,0.69197,0.64479,0.62367,0.63362,0.66287,0.64155,0.64912,0.66531,0.67255,0.72178,0.76040,0.80465,0.82046,0.90610,0.99412,0.97640,1.02763,1.08999,1.11532,1.12237,1.15824,1.15380,1.15308,1.10677,1.10838,1.00115,0.94964,1.01238,1.09352,1.08648,1.05080,1.00212,0.99279,0.93187,0.95592,0.92445,1.00031,0.94826,0.85892,0.80334,0.81507,0.84394,0.89811,0.89284,0.87593,0.86573,0.94819,1.00178,0.99223,0.85599,0.91125,0.91881,0.91592,0.96649,1.03500,1.07532,1.14677,1.27695,1.40063,1.45889,1.51222,1.47369,1.48002,1.40421,1.37103,1.38479,1.39978,1.35113,1.35365,1.32419,1.31608,1.29006,1.24229,1.21067,1.20414,1.25851,1.20209,1.17186,1.10396,1.08638,1.07303,1.18354,1.17600,1.10957,1.07482
2013,Salt Ash 33_11kV,15MAY2012,MW,1.00585,0.95532,0.92323,0.86689,0.83584,0.75982,0.73196,0.69310,0.69399,0.71879,0.72658,0.70074,0.68371,0.64218,0.62474,0.65504,0.66916,0.71878,0.68450,0.68874,0.74337,0.76045,0.81270,0.90041,0.97542,1.10295,1.18525,1.26627,1.25710,1.27888,1.28859,1.32181,1.19827,1.21164,1.10585,1.09855,1.03980,1.01367,0.97637,0.93644,0.96689,0.87922,0.82264,0.83586,0.81101,0.87552,0.87085,0.88372,0.84863,0.85041,0.85258,0.83109,0.76444,0.73380,0.72187,0.75510,0.74388,0.76579,0.74618,0.78633,0.81705,0.84654,0.88263,0.90560,0.92818,0.99355,1.01801,1.15582,1.22064,1.38579,1.44544,1.50137,1.47947,1.50424,1.47964,1.47440,1.44173,1.39331,1.43418,1.41515,1.33860,1.33234,1.32860,1.31754,1.25854,1.25779,1.30288,1.20143,1.20809,1.18680,1.10704,1.04356,1.18370,1.21573,1.16404,1.12648
2013,Salt Ash 33_11kV,16MAY2012,MW,1.04126,0.97018,0.94311,0.83435,0.82393,0.82655,0.80473,0.75951,0.74464,0.76947,0.71413,0.73085,0.72291,0.70394,0.69050,0.74704,0.76292,0.75399,0.74255,0.81356,0.81548,0.86333,0.82287,0.88436,0.93569,1.05893,1.02705,1.10508,1.09811,1.09690,1.11706,1.16630,1.14048,1.16631,1.16577,1.15862,1.08861,1.03305,1.03191,1.03728,0.96450,0.93717,0.93364,0.93289,0.92518,0.93043,0.87923,0.85319,0.83079,0.82985,0.83371,0.85695,0.79397,0.76879,0.84756,0.84264,0.83732,0.83413,0.85967,0.87307,0.85644,0.87118,0.93701,0.92946,0.96646,0.97010,0.97711,1.11621,1.25999,1.37032,1.40497,1.49225,1.45913,1.45474,1.42438,1.42225,1.38643,1.36353,1.28102,1.31807,1.31310,1.32123,1.27072,1.31533,1.29619,1.28291,1.30469,1.28736,1.26334,1.20320,1.13318,1.11763,1.25352,1.23018,1.13868,1.07021
2013,Salt Ash 33_11kV,17MAY2012,MW,1.00330,0.95645,0.93187,0.91940,0.83739,0.80022,0.74883,0.77347,0.75558,0.76371,0.72365,0.72964,0.71940,0.67991,0.67910,0.71413,0.69465,0.71115,0.73304,0.74973,0.78110,0.77806,0.83058,0.88295,0.95389,1.18239,2.40166,3.91865,4.49077,4.42506,4.46159,4.39056,4.38243,4.45149,4.15428,3.97931,3.96483,3.95195,3.76303,3.75851,3.68715,3.51632,3.38069,3.36549,3.30894,3.12576,3.08346,3.09364,3.05659,3.01349,3.03450,3.01362,3.03417,3.15255,3.17140,3.18532,3.17415,3.15920,3.20338,3.24719,3.22258,3.20159,3.34274,3.44800,3.59815,3.87377,4.24549,4.58903,5.02836,5.57535,5.82224,6.08231,6.20581,6.28262,6.13221,6.18166,6.00934,5.89284,5.85909,5.82368,5.72686,5.66308,5.17646,3.53743,1.97807,1.21205,1.23619,1.22862,1.21867,1.15449,1.12170,1.06708,1.17732,1.21254,1.16869,1.12940
2013,Salt Ash 33_11kV,18MAY2012,MW,1.05383,0.96862,0.92805,0.85858,0.83461,0.79648,0.77673,0.78542,0.78669,0.77326,0.73214,0.73861,0.70438,0.68548,0.63544,0.65633,0.67860,0.69490,0.71375,0.76149,0.81656,0.80722,0.81507,0.84691,0.87680,0.90703,0.94702,1.02983,1.02049,1.05911,1.10816,1.13223,1.11818,1.13918,1.08886,1.05333,1.02211,0.93325,0.90167,0.91621,0.89813,0.84650,0.81386,0.87597,0.85495,0.84429,0.83853,0.85637,0.83127,0.85803,0.86964,0.81658,0.80166,0.81621,0.78876,0.81234,0.81595,0.88366,0.86517,0.86715,0.84562,0.80210,0.81742,0.85014,0.91794,0.98498,1.04097,1.14391,1.21662,1.24725,1.28817,1.37471,1.36932,1.36740,1.33665,1.32653,1.30483,1.28832,1.35658,1.33431,1.32311,1.31246,1.33266,1.33878,1.28712,1.29145,1.34709,1.28654,1.26961,1.22689,1.18248,1.12669,1.26781,1.25507,1.16712,1.12918
2013,Salt Ash 33_11kV,19MAY2012,MW,1.05624,0.98965,0.96777,0.93876,0.89613,0.78975,0.75476,0.74991,0.80035,0.78646,0.72994,0.75524,0.72106,0.73333,0.70606,0.71117,0.73058,0.70429,0.73092,0.74401,0.77992,0.77796,0.77476,0.79708,0.85524,0.85434,0.85614,0.95347,1.02023,1.03399,1.03066,1.09129,1.07856,1.17410,1.11565,1.11420,1.11800,1.11442,1.07120,1.06748,0.98489,1.00793,0.98161,1.02463,0.93863,0.95358,0.96773,0.96805,0.93896,0.92381,0.92411,0.94789,0.92309,0.87781,0.88684,0.94899,0.93423,0.93159,0.89817,0.88483,0.88751,0.89578,0.87864,0.89120,0.96897,1.06376,1.13421,1.25968,1.38633,1.48157,1.53979,1.54313,1.52706,1.50562,1.41632,1.48543,1.45912,1.47828,1.38786,1.36757,1.36874,1.36365,1.32675,1.27622,1.28102,1.28508,1.29672,1.21255,1.20577,1.14345,1.09868,1.11681,1.20627,1.17914,1.09073,1.02779
2013,Salt Ash 33_11kV,20MAY2012,MW,0.96036,0.93925,0.90355,0.89088,0.81362,0.76336,0.73089,0.73528,0.77555,0.73443,0.74207,0.71914,0.75890,0.72936,0.69094,0.70849,0.69214,0.71690,0.69356,0.72630,0.76367,0.81067,0.78446,0.80226,0.81884,0.86429,0.90154,0.95846,0.98874,0.99864,1.07133,1.10537,1.11916,1.20381,1.22554,1.28014,1.19886,1.21177,1.23449,1.13777,1.10212,1.02306,1.05514,1.06007,1.01968,1.03425,1.00327,0.98335,0.95769,0.98407,1.00586,0.99490,0.97746,1.00956,0.97524,1.03482,1.00520,0.99413,0.93235,0.95802,0.93173,0.94020,0.94880,0.96673,1.06377,1.06828,1.17419,1.27918,1.35006,1.45957,1.50947,1.57173,1.57898,1.53714,1.55114,1.50196,1.46174,1.39462,1.36659,1.39344,1.35774,1.29324,1.28896,1.22391,1.21205,1.18253,1.23014,1.15173,1.10120,1.03812,1.03045,0.98717,1.09219,1.04039,0.97317,0.92988
2013,Salt Ash 33_11kV,21MAY2012,MW,0.87002,0.80178,0.82547,0.82109,0.76947,0.71015,0.70116,0.66752,0.69186,0.73990,0.71628,0.68706,0.66458,0.68293,0.67406,0.70347,0.68402,0.68996,0.68461,0.70981,0.76902,0.78492,0.83873,0.89281,0.94362,0.89791,0.95200,1.07682,1.07866,1.06861,1.09522,1.13128,1.14314,1.15751,1.13164,1.07864,1.00954,0.98995,0.97640,1.00007,0.95152,0.95621,0.91695,0.92086,0.91108,0.91986,0.90011,0.87532,0.82297,0.81944,0.79834,0.83494,0.80457,0.82444,0.79243,0.82092,0.78992,0.82797,0.83685,0.81101,0.84681,0.82352,0.88501,0.90862,0.96754,0.95166,0.99765,1.07098,1.18320,1.36927,1.40653,1.42525,1.42304,1.42838,1.36007,1.31375,1.30463,1.34009,1.28235,1.24409,1.22647,1.24490,1.23343,1.21391,1.21757,1.17600,1.19736,1.13460,1.18806,1.15723,1.06723,1.01241,1.16739,1.18815,1.08184,1.02468
2013,Salt Ash 33_11kV,22MAY2012,MW,0.99528,0.92971,0.91808,0.86013,0.80087,0.77749,0.68612,0.70663,0.75170,0.74925,0.71866,0.66492,0.66889,0.65415,0.65422,0.65689,0.67844,0.67245,0.73000,0.73449,0.75417,0.81830,0.85283,0.87251,0.90074,0.93660,0.97931,1.03514,1.01819,1.02617,1.04339,1.07888,1.04902,1.05056,1.03262,0.94429,0.90023,0.87723,0.84231,0.83533,0.87406,0.88297,0.83981,0.80687,0.77359,0.79936,0.74997,0.73384,0.70336,0.71003,0.72255,0.71064,0.68407,0.69128,0.69330,0.68879,0.71343,0.71212,0.70208,0.70040,0.69160,0.69120,0.72529,0.79404,0.84431,0.91817,0.99202,1.07488,1.23506,1.39357,1.42619,1.46324,1.46009,1.50189,1.51859,1.42312,1.46868,1.35522,1.40162,1.37588,1.31132,1.32529,1.28957,1.27007,1.30615,1.23611,1.22653,1.20468,1.16527,1.11479,1.03459,0.99523,1.13402,1.13981,1.07163,1.03107
2013,Salt Ash 33_11kV,23MAY2012,MW,1.00333,0.99583,0.94851,0.88684,0.78971,0.78104,0.73944,0.67553,0.69830,0.70403,0.68925,0.68123,0.69092,0.69213,0.64189,0.64466,0.68630,0.66594,0.66346,0.64841,0.75727,0.78911,0.83501,0.89558,0.95453,1.06395,1.13344,1.20281,1.23772,1.25244,1.24925,1.27383,1.24683,1.20125,1.21240,1.12625,0.99874,1.01063,0.99506,1.06576,1.00510,1.03387,0.97309,1.00520,1.00199,0.96438,0.93298,0.91097,0.90758,0.92289,0.76583,0.77045,0.84008,0.93791,0.93041,0.95276,0.98639,0.94435,0.89534,0.86488,0.76486,0.80575,0.80899,0.84368,0.87262,0.92469,0.99045,1.13041,1.20970,1.35417,1.43971,1.43600,1.40753,1.49899,1.39514,1.37385,1.37147,1.42191,1.41176,1.36105,1.34531,1.36015,1.34357,1.33900,1.32832,1.31498,1.35111,1.27641,1.29067,1.23755,1.13627,1.05774,1.19618,1.20787,1.12064,1.07630
2013,Salt Ash 33_11kV,24MAY2012,MW,1.08591,1.00540,0.95432,0.92779,0.86512,0.83584,0.75584,0.70810,0.69570,0.76845,0.72248,0.67115,0.68952,0.72581,0.67589,0.67496,0.67993,0.69008,0.70468,0.71142,0.78113,0.82429,0.82344,0.85035,0.96095,1.08060,1.12868,1.23531,1.30704,1.25236,1.18704,1.30158,1.26393,1.22622,1.01766,1.04530,0.86827,0.80177,0.82923,0.89669,0.91249,0.90555,0.86499,0.88731,0.90355,0.86956,0.84923,0.85082,0.82003,0.83623,0.75382,0.75810,0.83728,0.83461,0.85216,1.07758,0.91069,0.90867,0.89203,0.97407,0.97361,0.97603,0.98511,1.03456,1.03657,1.14358,1.19732,1.23730,1.38081,1.42633,1.43657,1.49201,1.53126,1.44877,1.44224,1.48203,1.42704,1.36621,1.36962,1.37950,1.34815,1.33804,1.31502,1.26662,1.27671,1.29149,1.24826,1.20856,1.20244,1.16076,1.07954,1.03280,1.22930,1.17331,1.08472,1.04236
2013,Salt Ash 33_11kV,25MAY2012,MW,1.00290,0.90913,0.89837,0.87671,0.78876,0.78910,0.73807,0.70160,0.68920,0.73434,0.68874,0.67400,0.65835,0.67105,0.63776,0.62427,0.61385,0.64083,0.64736,0.68182,0.72658,0.73735,0.80150,0.82046,0.86258,0.90104,0.93245,1.00978,1.06161,1.05228,1.04393,1.06352,1.06046,1.08212,1.08996,1.06125,1.03901,1.02904,1.02639,1.06942,1.07025,1.07575,1.02695,1.00751,0.99854,1.02583,1.03381,1.05569,1.08637,1.10019,1.08183,1.04575,1.01883,0.94372,0.93734,0.85945,0.90646,0.87011,0.84588,0.85508,0.89719,0.86943,0.86871,0.91902,0.97410,1.03316,1.09829,1.18178,1.26921,1.40371,1.44183,1.48571,1.50038,1.51710,1.42543,1.42225,1.37330,1.40061,1.38553,1.33613,1.35111,1.31387,1.36188,1.37312,1.38389,1.36517,1.41550,1.40117,1.36179,1.31204,1.25630,1.13544,1.26335,1.28929,1.15798,1.10962
2013,Salt Ash 33_11kV,26MAY2012,MW,1.06426,1.04117,1.03331,0.97175,0.88173,0.82115,0.78183,0.72551,0.69186,0.73883,0.75375,0.69609,0.69306,0.68970,0.69465,0.69801,0.66199,0.70102,0.69338,0.71448,0.71999,0.73989,0.71672,0.73306,0.76199,0.84431,0.94570,1.00770,1.09189,1.12451,1.08480,1.13418,1.14233,1.17205,1.20321,1.17515,1.16669,1.22679,1.14623,1.18075,1.16797,1.14138,1.08521,1.01858,1.03514,1.01142,1.00587,0.97943,0.96852,1.00908,1.02495,1.05402,0.99331,0.98741,0.88313,0.90511,0.92263,0.92272,0.94074,0.92669,0.88355,0.93912,0.93233,1.03224,1.04880,1.10489,1.15173,1.26599,1.31828,1.41423,1.48794,1.51613,1.50192,1.50529,1.42172,1.35452,1.30056,1.36659,1.35073,1.35590,1.31323,1.29281,1.26778,1.22493,1.17386,1.19637,1.17155,1.13615,1.12294,1.13016,0.99098,0.97393,1.10146,1.05779,1.01269,0.94720
