year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2013,Rutherford 33_11kV,01MAY2012,MW,13.73576,13.49564,13.26269,12.61322,12.03450,11.47579,11.12654,10.75513,10.54223,10.45725,10.08096,10.00488,9.82197,9.77193,9.85716,9.99689,10.10512,10.08786,10.21644,10.24981,10.94114,12.13839,12.61614,13.55655,14.26280,14.32504,15.09911,16.14538,16.19604,16.33220,16.50509,16.24100,15.89043,15.76702,15.77913,15.86659,15.84029,15.77841,15.98317,16.02594,16.14609,15.65507,15.89114,15.70308,14.67355,14.93044,14.92083,14.41877,14.27948,14.46772,14.61574,15.08246,15.00821,14.99143,14.87782,15.03061,14.75932,14.89033,14.73790,14.55927,14.74770,14.63940,14.75244,14.83121,14.61029,14.34997,14.22690,14.63515,15.19507,15.52639,16.02677,15.41662,14.99812,15.08321,15.02675,14.74755,14.41257,13.93008,13.76472,13.58160,13.74975,13.54683,13.30940,12.95631,12.81311,12.96298,12.90246,12.58861,12.27403,11.95074,11.96714,11.56871,13.53515,13.68207,13.13699,12.82622
2013,Rutherford 33_11kV,02MAY2012,MW,13.36425,13.12180,12.74187,12.13241,11.74104,11.46058,11.31377,10.72085,10.51985,10.39837,10.02372,9.25848,9.04642,8.95305,8.90475,9.17380,8.98773,9.02557,9.26833,9.59892,10.07998,11.50704,12.06921,12.83258,13.80485,14.57378,14.96365,15.39956,15.59207,16.06598,16.48967,16.59442,16.52730,16.40673,16.37410,16.02305,15.88142,15.77245,16.03697,16.09200,16.03965,16.48656,16.40250,16.00795,15.42749,15.67796,15.73957,15.36374,15.34080,15.36217,15.43653,15.82568,15.70404,15.81118,15.76968,15.84066,15.68474,15.69139,15.62470,15.42785,15.42623,15.28392,15.13854,15.39575,15.65321,15.27693,14.84852,15.43324,15.28344,15.61058,15.82593,15.51881,15.58854,15.59515,15.43380,14.94208,14.52475,14.24031,14.06914,14.26727,14.01120,13.55770,13.32975,13.09188,12.85967,12.70150,12.66894,12.51987,12.20524,11.88111,11.57504,11.24080,13.45203,13.37835,13.05683,12.41057
2013,Rutherford 33_11kV,03MAY2012,MW,12.80913,12.52450,12.18259,11.67408,11.13946,10.77550,10.12784,10.15700,9.74266,9.56199,9.42425,9.46946,9.51328,9.37719,9.33102,9.40639,9.46141,9.63020,9.76008,9.93739,10.26617,10.73647,11.24789,11.69184,12.32643,13.30635,13.94598,14.37227,14.63630,15.20418,15.74024,15.73424,16.02963,16.00561,16.03436,16.08080,16.03109,15.93845,16.07562,16.29151,15.95803,16.10703,16.07242,16.15410,15.58487,15.54541,15.56606,14.94015,15.04737,15.05127,15.28958,15.68761,15.63172,15.48425,15.43612,15.29975,15.02003,14.79223,14.46468,14.19389,13.88855,13.81394,13.68158,13.41407,13.62057,13.33744,13.10848,14.14835,14.17509,14.61750,14.72542,14.27951,14.21448,14.08354,13.80588,13.55844,13.24174,13.06697,13.01952,12.89218,12.73497,12.74729,12.17187,11.78505,11.57816,11.44141,11.65408,11.63272,11.31385,11.07017,10.78064,10.33683,12.40227,12.38333,11.77431,11.39731
2013,Rutherford 33_11kV,04MAY2012,MW,12.25748,11.92269,11.52009,10.90857,10.19921,9.59945,9.22795,9.04894,8.70153,8.58331,8.29435,8.28945,8.17240,8.20100,8.19424,8.35277,8.38273,8.38013,8.44117,8.60338,9.04859,10.29884,11.13976,11.87527,12.37377,13.19289,14.12566,14.82901,14.58119,14.77712,14.84450,14.68366,14.92692,14.83262,14.17130,14.27559,14.48526,14.38719,14.26034,14.26232,14.39832,14.06339,14.40627,14.11865,14.26507,14.23924,14.47260,14.09562,13.84503,14.00697,13.72902,14.17892,14.26255,14.07052,14.09939,13.70414,12.85600,13.24644,13.74832,14.39872,14.36847,14.20768,13.99733,14.02009,14.03799,13.60135,13.23356,13.41964,13.71368,14.05452,14.34162,14.28523,14.12304,14.09751,13.72066,13.64915,13.41143,13.43266,13.28716,12.70634,12.14349,12.15104,12.07363,11.96956,11.67851,11.52172,11.55085,11.36782,11.18756,11.08973,10.84371,10.68709,12.68931,12.81052,12.44355,11.86430
2013,Rutherford 33_11kV,05MAY2012,MW,12.49018,12.14546,11.86056,11.18781,10.65113,9.91498,9.47028,9.28952,9.01366,8.79173,8.75278,8.72936,8.60049,8.49703,8.34169,7.84349,8.02832,8.38025,8.82042,8.86411,9.10841,9.25355,9.43736,9.77013,10.34823,11.17197,11.76226,12.01307,12.54926,12.83373,12.95311,13.35364,13.61607,13.79152,13.96480,14.16854,14.31256,14.24903,14.36539,14.14281,14.13831,14.40148,14.16451,14.09018,13.95605,13.53825,13.55518,12.25585,11.62831,11.37521,11.44477,11.29860,11.31763,11.15329,11.14074,11.25894,11.08690,11.20335,11.11098,10.83141,10.93433,11.13397,11.20283,11.19534,11.63070,11.76574,11.77758,12.01722,12.53873,12.94736,13.52232,13.81531,13.74127,13.60761,13.48170,13.31459,13.01393,12.86047,12.91425,12.71523,12.47200,12.09599,12.04669,11.91884,11.75074,11.23364,11.16675,11.17779,11.07249,10.85486,10.84953,10.52871,10.57147,10.03418,9.76732,9.15646
2013,Rutherford 33_11kV,06MAY2012,MW,9.11860,8.66481,8.31145,8.03654,7.90864,7.89145,7.73786,7.70955,7.60170,7.42989,7.34012,7.48666,7.51687,7.43504,7.35176,7.34173,7.42828,7.40552,7.48372,7.41166,7.70985,7.81182,7.87256,8.08431,8.44746,8.62121,8.65084,8.94363,9.15656,9.40667,9.78144,10.06594,10.32119,10.51244,10.70109,10.80672,10.83479,10.76221,10.45367,10.51097,10.65298,10.53726,10.42639,10.38433,10.24835,10.20141,10.24272,9.86813,9.92246,9.98566,9.67668,9.90016,9.96717,9.74835,9.79541,9.41614,9.68544,9.85052,9.77479,9.81864,9.83207,10.19951,10.45693,10.70389,11.05890,11.12316,11.28100,11.83455,12.29240,13.16038,14.21635,14.36516,14.56158,14.43580,14.38623,14.15799,13.89330,13.75662,13.53858,13.35878,13.56811,13.37467,13.21148,12.59348,12.18406,11.75742,11.66528,11.65511,11.41484,10.88933,10.46780,10.18691,10.79238,10.80166,10.47535,9.89438
2013,Rutherford 33_11kV,07MAY2012,MW,9.71513,9.77971,9.55534,9.32461,9.36357,9.44512,9.08977,8.87944,8.81717,8.91061,8.66820,8.65084,8.64650,8.77040,8.82916,9.04917,9.05799,9.13972,9.20934,9.53677,10.01547,10.88600,12.04553,12.95252,13.75390,13.99135,14.93001,15.37749,15.32196,15.53932,16.22873,16.70980,17.12933,16.88623,17.13056,16.98526,17.07689,16.73739,16.73472,16.94960,17.18856,16.93254,16.42290,16.16116,16.22791,15.74891,15.80315,15.21837,15.06144,14.81947,14.55307,15.15796,15.40429,15.43489,15.78081,15.81489,15.87373,15.53778,15.33635,15.14650,14.91896,14.92417,14.78673,14.73047,14.90356,14.89988,14.71692,15.49299,16.23632,16.68810,16.63188,16.10558,15.35470,15.22619,14.89780,14.66600,14.54380,14.33668,14.16505,14.18211,13.98569,13.84309,13.60351,13.26682,12.90936,12.72023,12.77523,12.46331,12.03508,11.64788,10.98201,10.58625,12.53140,12.76081,12.37001,11.80356
2013,Rutherford 33_11kV,08MAY2012,MW,12.60540,12.49987,12.08117,11.16864,10.67038,10.09233,9.78546,9.41628,9.08623,8.82037,8.60669,8.56832,8.45749,8.39134,8.33623,8.54800,8.44187,8.60598,8.78356,9.16162,9.81884,11.15616,11.82755,12.57756,13.28325,14.10210,15.27378,15.41357,15.83356,16.27331,16.68843,16.47218,16.65451,16.60863,16.25211,15.94779,16.43904,16.14708,16.06962,16.18018,15.73159,15.77856,15.81816,15.95328,15.67398,15.76374,15.71473,15.21581,14.96640,14.61243,14.66619,15.14783,15.43794,15.20959,14.64018,14.36201,14.60106,14.44195,14.62248,15.02029,14.94155,14.56962,14.09285,14.15774,14.29713,14.14940,14.18629,15.13124,15.55603,15.83959,15.97781,15.38713,15.22433,15.16538,14.95866,14.72385,14.72967,14.67328,14.58771,14.42630,14.47244,14.27567,14.14876,13.96771,13.34076,13.30301,13.07195,12.80343,12.65689,12.49383,12.19026,11.70737,13.83886,14.08022,13.50552,12.86833
2013,Rutherford 33_11kV,09MAY2012,MW,13.56190,13.35672,13.11991,12.46255,11.97200,10.67537,10.25165,9.88438,9.45989,9.19023,9.03179,9.24434,8.95958,8.89696,8.97526,9.08724,9.24119,9.42105,9.51628,9.84881,10.57183,11.78646,12.25146,12.95500,13.62435,14.33377,14.88517,15.03648,15.47973,15.97677,16.60629,16.60496,16.41128,16.25592,16.16917,16.01102,15.74187,15.23699,15.08213,15.22081,15.16775,14.71480,14.68798,14.73802,14.63980,14.51752,14.31475,13.74740,14.06859,14.02748,14.11613,14.31431,13.80052,13.82442,13.84019,13.83196,13.66365,13.62459,13.48800,13.30792,13.38694,13.21265,13.54261,13.60169,13.71382,13.34000,13.74932,14.32241,14.49609,14.55948,14.57795,14.26292,14.34793,14.30228,14.32717,14.02640,13.85115,13.73071,13.51202,13.29674,13.16364,12.87486,12.59332,12.40439,12.32782,12.00040,12.20497,12.45945,12.40022,11.81084,11.66519,11.18713,13.10712,13.36027,12.99944,12.51961
2013,Rutherford 33_11kV,10MAY2012,MW,12.97673,12.76655,12.27627,11.89379,11.36008,10.97384,10.54900,10.31679,9.93498,9.84617,9.59379,9.58633,9.34052,9.17763,9.20830,9.32801,9.53176,9.55010,9.81678,10.30348,11.03397,11.95908,12.64531,13.26493,14.20181,14.99266,15.26763,15.67444,15.79553,16.21128,16.30272,16.04035,16.09335,16.37160,15.87786,15.63198,15.49351,15.35686,15.24364,15.32611,15.12431,14.53465,15.07171,15.05854,14.72963,14.58880,14.81868,14.53795,14.44868,14.21849,14.34651,14.58643,14.91452,14.92968,14.76151,14.82605,14.82146,14.55088,14.53776,14.48761,14.49160,14.41654,14.57622,14.50085,14.61083,14.02359,14.07806,15.02122,15.07843,15.26176,15.08304,15.01598,15.13724,15.04145,15.05975,14.79075,14.36901,14.01504,13.96799,13.90695,13.41679,13.25654,12.97837,12.72349,12.43728,12.44758,12.44254,12.17726,12.13109,11.82925,11.61832,11.31998,13.18218,13.35092,12.96093,12.49589
2013,Rutherford 33_11kV,11MAY2012,MW,12.99422,12.55249,12.22169,11.53954,10.75456,10.42444,10.20034,9.93638,9.49572,9.40115,9.32584,9.07227,9.08431,9.12771,9.26821,9.21907,9.42695,9.67281,9.70828,10.09975,10.81682,11.68344,12.38711,12.82608,13.48031,14.46608,15.04521,14.96016,14.67642,15.02686,15.24019,15.38420,15.49738,15.59755,15.26294,15.14197,15.31247,14.79002,14.70310,14.88882,14.96546,14.81567,14.73570,14.90279,15.19926,14.94334,15.12883,14.40976,14.46069,14.58290,14.85483,14.72959,14.76787,15.20147,15.33269,14.84222,14.16527,13.96806,13.86422,14.43059,14.26667,14.20602,14.14539,14.38551,14.14957,13.61263,13.56819,13.72164,14.43219,14.85762,14.98975,14.91922,14.74104,14.62295,14.29175,14.07240,13.78227,13.56360,13.50637,12.83609,12.27807,11.93754,11.74550,11.60774,11.54746,11.39590,11.78696,11.74984,11.56048,11.47500,11.04256,10.52766,12.42044,12.93205,12.35758,11.81653
2013,Rutherford 33_11kV,12MAY2012,MW,12.06473,11.88358,11.29144,10.76418,10.18832,9.91745,9.66616,9.43338,9.09017,8.78319,8.45178,8.34195,8.43045,8.62451,8.59085,8.52312,8.69479,8.84474,8.85328,9.22753,9.41060,9.59190,9.94295,10.01496,11.12379,11.98241,12.17104,12.89084,13.39422,13.63759,13.90194,14.33444,14.44949,14.57761,14.55757,14.49391,14.54834,14.46753,14.47582,14.07512,14.24884,14.34604,14.03238,14.11398,13.85903,13.68701,13.32738,12.33668,11.95722,11.98737,11.70232,11.92610,12.03484,12.07779,11.64563,11.47735,11.24291,11.11631,10.99533,10.94878,10.84266,11.11170,11.03909,11.08349,11.45233,11.72920,11.87021,12.01810,12.41998,13.03395,13.52429,13.55136,13.42231,13.44614,13.41420,13.21156,13.01609,12.79166,12.68973,12.44983,12.24284,12.10573,11.86285,11.63901,11.40839,11.11938,11.10122,10.86085,10.80169,10.78667,10.68949,10.48893,11.02823,10.64980,10.47536,10.03812
2013,Rutherford 33_11kV,13MAY2012,MW,9.78381,9.62778,9.47500,9.28021,8.89456,8.64277,8.61191,8.55638,8.41888,8.29887,8.15996,8.31621,8.15461,7.98275,7.91959,7.98885,7.94552,7.94406,8.12747,8.28503,8.34074,8.51115,8.55373,8.92601,9.01965,8.77371,8.64296,8.96488,9.30997,9.86930,10.24309,10.47094,10.79560,11.15528,11.16203,11.39304,11.73953,11.60704,11.59498,11.62393,11.57211,11.41989,10.98922,10.92921,10.78075,10.78748,10.70394,10.50282,10.25869,10.07699,10.04970,10.03009,9.90038,9.72732,9.69423,9.70864,9.71608,9.71387,9.66168,9.73489,10.05813,10.28837,10.52113,10.71888,10.89204,11.00618,11.22301,11.78712,12.36513,13.18989,13.80926,14.22986,14.12334,14.22595,14.23407,14.06857,13.51183,13.45069,13.30696,13.17180,13.27510,12.94502,12.50490,12.20106,11.67893,11.38394,11.21216,10.98419,10.70114,10.59578,10.29020,10.54889,11.00586,10.62325,10.59092,10.27072
2013,Rutherford 33_11kV,14MAY2012,MW,10.19599,10.00536,10.08301,9.89944,9.79592,9.59158,9.55841,9.37129,9.46971,9.36414,9.10920,9.32978,9.23146,9.32961,9.39850,9.42036,9.53825,9.80082,9.84576,10.22484,10.77945,11.99699,12.63043,14.10251,14.74192,15.59879,16.06745,16.67656,17.09426,16.95499,17.14965,17.42245,17.67430,17.19087,16.64929,15.97361,15.78113,15.77874,15.62279,15.83438,15.57947,15.49234,15.59152,15.62888,15.38580,15.07641,15.08624,14.67485,14.31662,14.17614,14.07148,14.49671,15.25615,15.35733,15.23206,15.00304,15.04534,15.11852,15.30506,15.10549,15.24694,14.99537,14.81214,14.69558,14.92772,14.66335,14.58089,15.97274,16.29215,16.83971,17.30735,17.12753,16.94882,16.77524,16.67198,16.37077,16.26254,16.28228,16.23513,15.96194,15.53344,15.96106,15.55202,15.38559,14.97001,14.77616,14.71821,14.29205,13.85575,13.20129,12.98109,12.74022,14.31365,14.39937,14.04397,13.53858
2013,Rutherford 33_11kV,15MAY2012,MW,14.06068,14.11139,13.93854,13.04018,12.63878,12.10295,11.61901,11.36518,10.94550,10.75898,10.61528,10.51150,10.45210,10.22613,10.11457,10.21398,10.24731,10.43356,10.71598,11.15446,11.64242,12.91323,13.92385,14.86962,15.87021,16.36141,17.46569,18.57837,18.33355,18.53990,18.89311,19.23717,19.09775,19.18867,18.55505,18.04513,17.62907,17.49346,17.29497,17.12536,16.75646,16.44844,16.30280,16.01080,16.10643,15.87683,16.02758,15.52811,15.11696,14.91862,14.79921,14.86985,15.89351,15.96833,15.83722,15.80141,15.83415,15.08943,14.93695,15.04631,15.41589,15.39154,15.38759,15.57545,15.99491,15.71186,15.93325,16.67891,17.15202,17.23464,17.51753,17.07878,17.38971,17.36101,17.24300,17.06906,16.90947,16.64207,16.43527,16.51883,16.23374,16.04613,15.88065,15.53472,14.95309,14.95405,14.73545,14.31935,14.11916,13.34497,12.78786,12.45135,14.38072,14.39305,13.84599,13.31264
2013,Rutherford 33_11kV,16MAY2012,MW,13.72675,13.84921,13.50027,12.81519,11.92146,11.46223,11.08869,10.84520,10.30601,9.88206,9.74160,9.50313,9.55040,9.43066,9.45778,9.45755,9.02933,9.37701,9.56848,9.94785,10.56448,11.97128,12.70534,13.62583,14.42552,15.14238,16.21522,17.15773,17.52390,17.49572,17.80142,17.62664,17.88746,17.66829,17.26822,17.24025,17.78884,17.69896,17.21772,17.09519,16.87709,17.02499,17.15921,16.16776,16.01222,15.88131,15.59015,14.80914,14.56757,14.45611,14.59996,14.45628,14.95005,15.36827,15.45678,15.40406,15.26455,15.04440,14.96037,14.55753,15.33060,15.08842,14.77515,14.75595,15.12328,14.66566,14.85468,15.51741,15.69205,16.25924,16.18112,15.71430,16.13650,16.69226,16.54778,16.42842,16.32681,16.16882,15.93738,16.08390,15.94475,15.59354,15.29372,14.76447,14.44525,13.66864,13.91637,13.85514,13.55514,13.20750,12.80356,12.38675,14.20155,14.34245,13.95184,13.26696
2013,Rutherford 33_11kV,17MAY2012,MW,13.75723,13.75670,13.37708,12.84027,12.43259,11.92787,11.56741,11.14833,10.68658,10.22649,10.15576,10.16893,10.06925,10.30498,10.35603,10.43372,10.42168,10.56380,10.66088,10.92053,11.36585,12.40586,13.41807,14.26458,15.14557,15.66834,16.37961,17.32689,17.88546,18.34835,17.69491,17.64882,17.44654,17.22263,16.43501,16.26322,16.48080,16.60783,16.62923,16.50793,16.32085,15.88982,15.35164,15.45520,15.38174,15.38864,15.48967,14.84768,14.99148,14.73083,14.77017,15.03430,15.54361,14.92929,15.19061,15.17961,15.28542,15.07800,14.99520,14.97357,14.90427,14.64410,14.09392,14.17071,14.28748,14.10980,14.01111,15.33252,15.77342,16.23308,16.03683,15.59820,15.93174,15.94454,15.94975,15.84494,15.69629,15.23595,15.22245,15.24851,14.96267,14.79526,14.58667,14.03862,13.61340,13.58019,13.42663,12.59802,12.88452,12.70106,12.49750,11.93775,13.62729,13.80505,13.35216,12.91241
2013,Rutherford 33_11kV,18MAY2012,MW,13.15268,13.12049,12.80529,12.19435,11.66477,11.23502,10.11322,9.75751,9.42546,9.06752,8.79519,8.83470,8.75420,8.75057,8.54060,8.60659,8.63073,8.82942,9.11073,9.53819,10.04662,11.33245,11.92355,12.89934,13.67541,14.57558,15.25572,16.25623,16.18261,16.38584,16.23692,16.11977,16.38804,15.82015,15.91197,15.74539,15.80985,16.34152,16.08028,15.86889,15.50908,15.30225,14.94355,14.90571,14.82482,14.46863,14.63619,14.10288,13.88703,13.41714,13.50467,13.23868,13.33486,13.86870,14.08730,13.97938,13.98990,14.00332,13.39686,13.04194,13.01642,12.82173,12.75614,12.92266,12.86818,12.82062,12.63926,13.41955,14.14742,14.76892,15.33185,15.21809,15.84757,15.78646,15.61578,15.47475,15.50893,15.04269,15.35016,14.59281,14.23039,14.02814,13.95414,13.77291,12.88825,13.04940,13.32566,13.17332,12.79360,12.33847,12.05394,11.55429,13.46017,13.73865,12.98958,12.61581
2013,Rutherford 33_11kV,19MAY2012,MW,13.12599,12.79045,12.44078,11.82424,11.24112,10.65124,10.35098,10.09173,9.74436,9.53264,9.32222,9.22084,9.11873,8.97667,8.88676,8.85137,9.14431,9.19398,9.35786,9.70104,9.90633,10.09119,10.46710,10.81884,11.83781,12.75639,13.27211,14.09648,14.76072,15.12337,15.24514,15.21815,15.63664,15.77103,15.89610,15.89020,15.63579,13.69822,12.59033,12.71036,13.26241,15.34110,14.79985,14.37356,13.95264,13.82243,13.59636,12.58534,11.94609,11.62065,11.66779,11.55317,11.54883,11.37177,11.41276,11.77669,11.64126,11.62458,11.41234,11.25050,11.34619,11.45725,11.44966,11.93283,12.16148,12.17061,12.61193,13.18787,13.37899,14.30822,14.71158,15.06542,14.90024,14.98663,14.86141,14.75686,14.54646,14.32014,14.10607,13.77458,13.11716,12.87470,12.73729,12.77667,12.39108,12.25244,12.30374,11.98182,11.53569,11.16580,10.93533,10.64001,10.96202,10.79422,10.32817,9.88437
2013,Rutherford 33_11kV,20MAY2012,MW,9.54100,9.21684,9.25161,8.86091,8.83040,8.88702,8.82294,8.75072,8.79098,9.12878,9.01321,9.06829,8.97332,8.91355,8.99673,9.07765,8.95026,9.00904,9.02174,9.13908,9.37430,9.52473,9.65447,9.82903,10.11950,10.44769,10.56850,10.74100,11.14993,11.76798,12.05995,12.43253,12.88476,12.82865,12.94008,13.09955,13.21816,13.12042,13.14321,13.17527,12.83607,12.64516,12.47712,11.92820,11.71285,11.39667,11.54394,11.33568,11.57798,11.50178,11.44933,11.45681,11.67269,11.64040,11.36697,11.38738,11.65922,11.57771,11.29575,11.57217,11.78165,11.37492,11.13751,11.12967,11.40696,11.69788,12.22819,12.88010,13.61924,14.29044,15.26616,15.38179,15.47893,15.29224,15.10591,15.08456,14.63586,14.68005,14.31834,14.37949,14.12538,13.75901,13.43078,13.13582,12.84093,12.61718,12.25784,11.66075,11.47873,11.23450,10.85557,10.32592,10.80068,10.52856,10.15335,10.01819
2013,Rutherford 33_11kV,21MAY2012,MW,10.02365,9.64095,9.76468,9.41075,9.02653,8.89797,8.98139,8.81389,8.75215,8.55845,8.48126,8.43792,8.35594,8.32837,8.33161,8.30922,8.35280,8.69658,8.90129,9.33437,9.75783,10.31346,11.00890,11.57436,13.06111,13.98505,15.34202,16.09148,16.53478,17.51289,17.74687,17.54831,17.80710,17.71115,17.54238,17.18191,17.13311,17.00611,17.13357,16.81538,16.46016,16.71466,16.71882,16.91862,16.45547,16.50120,16.09764,15.54704,15.24576,15.16957,15.22710,15.05474,14.92727,15.43219,15.36604,15.28837,15.19439,15.15594,15.04755,15.11909,14.96995,14.92539,14.81701,14.81215,14.69719,14.52758,14.43622,14.72047,15.33405,16.38766,16.90217,17.14246,17.08200,17.01905,16.79862,16.70929,16.42702,16.24976,16.06796,15.94713,15.89366,15.62763,15.24553,14.89123,14.25795,14.16865,14.34321,13.97409,13.59591,13.06553,12.87385,12.17936,14.13537,14.18100,13.84973,13.40189
2013,Rutherford 33_11kV,22MAY2012,MW,13.90641,13.94669,13.65347,12.81839,12.28483,11.76759,11.31360,10.97085,10.84672,10.49578,10.42770,10.20884,10.10373,10.02502,10.10910,10.12941,10.16724,10.28109,10.62668,11.08650,11.47663,12.76954,13.36414,14.20045,15.41066,15.99274,16.77709,17.69990,18.30624,18.57304,18.39315,17.47163,17.22988,17.55026,17.46205,17.11452,16.82637,16.50735,15.89934,15.27951,15.49700,15.51637,15.39175,15.37367,15.22225,15.20676,15.20540,14.81736,14.60299,14.59626,14.52995,14.90197,15.40559,15.56229,15.48420,15.08695,14.90612,14.96124,14.86073,14.74066,14.67963,14.57253,14.35479,14.29114,14.11961,14.19603,14.59656,15.39558,16.06183,16.59746,17.00944,16.71939,16.34154,16.40610,16.24100,16.01689,15.80848,15.92218,15.91511,15.53127,15.41657,15.19788,14.93511,14.77999,14.53498,14.22714,14.20522,14.06022,13.64183,13.05626,12.87267,12.41305,14.14350,14.37645,14.01556,13.55500
2013,Rutherford 33_11kV,23MAY2012,MW,13.86691,13.85257,13.63089,12.83166,12.40181,11.63430,11.46343,11.16820,11.05793,10.94319,10.84688,10.59609,10.37274,10.29124,10.15854,10.34312,10.46136,10.54883,10.93259,11.33718,12.01364,13.09929,14.00810,14.80409,15.49808,16.45246,17.32655,18.58303,18.61410,18.63056,18.81752,18.71965,18.74230,18.60552,18.18031,17.71050,17.34266,17.21511,17.08565,16.59441,16.01513,15.98435,15.45560,15.53208,15.58505,15.59780,15.66621,15.04980,14.39331,14.70826,14.72383,14.99628,15.61107,15.49969,14.99609,14.73891,14.16511,13.93904,14.46010,14.25039,14.21825,14.22242,13.83579,13.69998,13.69671,13.70898,14.01865,14.39348,15.13884,15.27815,15.87110,15.23815,15.29338,15.36979,15.14851,15.15306,15.11275,15.11113,14.92662,14.95691,14.78940,14.35390,14.16546,13.98499,13.91022,13.87499,14.15926,13.76825,13.21269,12.93008,12.59065,12.11941,13.68622,13.94690,13.57747,12.94937
2013,Rutherford 33_11kV,24MAY2012,MW,13.45515,13.27532,12.82888,12.19835,11.77987,11.39873,10.76847,10.36928,10.05969,9.95465,9.74050,9.52013,9.43752,9.45184,9.30832,9.32773,9.66019,9.60130,9.95164,10.71835,11.44753,12.74220,13.57399,14.12394,14.37929,15.62376,16.79116,17.51847,17.56571,18.14950,18.57827,18.96892,18.96536,19.10307,19.07845,18.76465,18.42510,18.15983,18.18523,18.15716,17.92091,17.52692,17.11248,16.93826,17.07081,16.62901,16.74275,16.25311,16.08406,16.26972,16.91404,16.96682,17.25312,16.41096,16.51408,16.89482,16.91929,16.84895,16.63275,16.04443,16.47648,17.41211,17.12525,16.94535,16.93988,16.98961,17.17992,17.53418,17.94871,18.11246,18.14198,17.54790,17.47078,17.44887,17.23843,17.12260,16.93744,16.86459,16.71224,16.59534,16.10224,15.79979,15.41130,15.12934,14.83553,14.24055,13.93209,13.58743,13.07991,12.54729,11.99251,11.44429,13.40420,13.45874,13.00987,12.50499
2013,Rutherford 33_11kV,25MAY2012,MW,13.01524,12.90886,12.62358,12.06289,11.33589,10.90408,10.54080,10.18879,9.69550,9.55395,9.33195,9.19959,9.24019,9.19774,9.04216,9.17119,9.32171,9.43709,9.56380,9.96731,10.31454,11.52696,11.77956,12.40968,13.46235,13.79946,14.70878,15.62390,16.13560,16.55517,16.41701,16.67696,17.33885,16.95926,16.67852,16.30725,17.20608,17.39820,17.31635,17.32180,17.19236,17.47193,17.62663,17.54973,17.46402,17.35038,17.38982,16.28799,16.16335,16.28893,16.25963,16.08010,15.91416,15.44532,15.21700,15.15738,15.07646,15.00017,14.81700,14.39481,14.71596,14.54576,14.53793,14.52182,14.58485,14.50477,15.09170,15.92679,16.36257,16.88467,17.22605,17.39793,17.18212,17.30010,17.10391,16.81970,16.72244,16.68906,16.96873,16.47106,16.29176,16.06947,15.98453,15.59166,15.12080,14.88601,15.07778,14.49577,14.07719,13.75108,13.36982,12.85114,14.40398,14.51188,14.01690,13.64567
2013,Rutherford 33_11kV,26MAY2012,MW,14.14958,13.96533,13.50868,12.78524,12.05081,11.75354,10.92837,10.16897,9.73522,9.55280,9.40820,9.31825,9.15312,9.12071,8.97232,8.97151,9.34154,9.31305,9.29424,9.39850,9.66019,9.91041,10.05112,10.37254,11.10239,12.04953,12.23352,13.12979,13.80325,14.67725,15.20145,15.24000,15.56060,15.36515,15.60593,16.21805,16.29695,15.89432,15.52464,15.48124,15.48029,15.58431,14.91498,14.61517,14.33822,14.56753,13.91955,12.86798,12.22302,11.98412,11.96523,11.84637,11.44940,10.98451,10.93879,10.91415,10.92460,10.92875,10.86639,11.16095,11.30681,11.49307,11.70099,12.05729,12.24448,12.65630,13.10656,14.04183,14.62922,15.59750,15.96009,16.17841,15.94820,15.60285,15.57625,15.43333,15.05171,15.04285,14.78213,14.42896,14.27603,14.05476,13.71460,13.72634,13.31746,13.03222,12.77983,12.49754,12.37737,12.09507,11.14549,10.87002,11.64417,11.48561,11.18262,10.73161
