year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2008,Gwawley Bay 33_11kV,01MAY2007,MW,13.36499,12.51791,11.68966,12.93204,13.77912,14.43795,13.42146,12.48026,11.74613,11.91555,10.89905,11.61436,10.61670,10.20257,9.71315,10.05198,10.16492,9.69432,9.97668,10.39081,10.76729,11.12494,11.63319,12.53674,13.81676,14.94620,15.90622,15.47327,16.71565,18.12744,18.52275,19.12511,19.63336,,,,,,,,,19.85924,19.99101,19.93454,20.04748,19.82160,19.91572,19.80277,19.65218,19.53924,19.74630,19.70865,19.99101,20.04748,20.04748,19.99101,19.91572,19.70865,19.87807,19.70865,19.85924,19.40747,19.48277,19.36982,19.20041,18.95570,19.23805,19.01217,19.63336,20.64985,21.00750,20.98868,21.04515,20.66867,20.10396,20.04748,19.23805,18.61686,18.29686,17.95803,17.78861,17.22389,16.94154,16.52741,15.92504,15.45445,14.96502,14.60737,14.15559,13.72264,13.55323,12.70615,16.20740,15.34150,15.69916,14.43795
2008,Gwawley Bay 33_11kV,02MAY2007,MW,13.72264,12.74380,11.89672,13.27087,14.11795,14.49442,13.47793,12.81910,12.02849,12.00967,11.35083,12.00967,10.99317,10.71082,10.03315,10.08963,9.92021,9.82609,10.16492,10.61670,10.84258,11.27553,11.85907,12.48026,14.55090,15.13444,16.26387,15.69916,17.31801,17.93920,18.74863,19.23805,19.46394,19.36982,19.70865,19.99101,19.68983,19.70865,19.46394,20.25455,19.93454,19.87807,19.93454,20.04748,20.36749,19.97219,19.85924,20.10396,19.80277,20.14160,20.21690,19.82160,20.42396,20.02866,20.14160,20.08513,20.64985,20.42396,20.42396,20.38631,20.32984,20.14160,19.82160,19.93454,19.87807,19.68983,19.18158,19.08746,19.91572,20.21690,20.78162,20.70632,20.95103,20.53691,20.14160,19.48277,19.20041,18.44745,18.05215,17.65684,17.54390,16.97918,16.71565,16.35799,15.68033,15.05914,14.55090,14.11795,13.92971,13.30852,13.10145,12.53674,15.92504,15.24738,15.56739,14.28736
2008,Gwawley Bay 33_11kV,03MAY2007,MW,13.72264,12.57438,11.55789,13.19557,13.77912,14.15559,13.36499,12.63086,11.89672,12.08496,11.16259,11.68966,10.95553,10.44728,10.25904,10.05198,9.75079,9.92021,9.97668,10.61670,10.61670,11.18141,11.57672,12.59321,14.17442,14.88973,16.35799,15.52974,17.05448,17.60037,18.29686,18.84275,19.12511,19.31335,19.59571,19.59571,19.87807,20.16043,20.19807,20.21690,20.48043,20.19807,20.16043,20.21690,20.19807,20.27337,20.27337,20.36749,20.49926,20.49926,20.32984,20.64985,20.64985,20.83809,20.70632,20.44279,21.15810,20.83809,20.76279,20.81926,20.83809,20.36749,20.27337,20.19807,19.97219,19.97219,20.16043,19.52041,19.87807,20.76279,21.21457,21.06398,21.12045,20.78162,20.38631,20.32984,19.82160,19.31335,18.72981,18.56039,17.90156,17.65684,17.09213,16.80977,16.15093,15.28503,14.83326,14.34383,13.66617,13.25205,13.36499,12.70615,15.79328,14.88973,15.56739,14.09912
2008,Gwawley Bay 33_11kV,04MAY2007,MW,13.49676,12.46144,11.85907,13.08263,13.77912,14.09912,13.30852,12.64968,11.57672,11.68966,11.23789,11.63319,11.27553,10.33434,10.05198,9.75079,9.76962,9.71315,9.88256,10.42846,10.88023,11.21906,11.50142,12.31085,13.83559,14.77678,15.69916,15.47327,16.52741,17.65684,18.12744,18.74863,19.03099,19.52041,20.04748,19.82160,20.27337,20.44279,20.21690,20.70632,20.83809,20.55573,20.81926,20.44279,20.55573,20.55573,20.53691,20.76279,20.72514,20.81926,20.72514,20.64985,20.66867,20.83809,20.49926,20.72514,20.36749,20.32984,20.16043,20.04748,19.82160,19.48277,19.52041,19.40747,19.25688,19.01217,18.67334,18.80510,18.95570,19.52041,19.80277,19.63336,19.36982,19.14393,18.78628,18.24039,17.60037,17.11095,16.99801,16.15093,15.84975,15.64268,15.30385,14.72031,14.45678,14.15559,13.66617,13.19557,12.91321,12.51791,12.74380,12.02849,15.58621,14.77678,15.28503,14.23089
2008,Gwawley Bay 33_11kV,05MAY2007,MW,13.36499,12.06614,11.27553,12.96969,13.47793,13.92971,13.10145,12.02849,11.29436,11.46377,10.59787,11.12494,10.16492,9.63785,9.46844,9.48726,9.31784,9.09196,9.03549,9.07313,9.48726,9.60020,9.75079,10.25904,10.76729,10.71082,11.40730,11.23789,12.02849,12.81910,13.36499,13.81676,14.56972,14.60737,15.36033,15.75563,16.07563,16.15093,15.86857,15.92504,16.01916,16.20740,16.20740,15.92504,15.96269,16.13211,15.81210,15.58621,15.52974,15.17209,15.02149,15.05914,15.07797,14.85208,14.72031,14.62619,14.17442,14.56972,14.23089,14.28736,14.43795,14.62619,14.45678,14.62619,14.72031,14.51325,14.85208,15.56739,15.69916,16.64035,17.20507,17.31801,17.11095,16.92271,16.71565,16.24505,15.56739,15.24738,15.02149,14.56972,14.17442,14.00500,13.53440,13.38381,12.98851,12.91321,12.40497,12.25438,12.12261,11.85907,11.95319,11.55789,15.05914,14.17442,15.05914,14.04265
2008,Gwawley Bay 33_11kV,06MAY2007,MW,13.27087,12.23555,11.74613,13.08263,13.32734,13.94853,13.02616,12.29203,11.68966,11.57672,10.67317,11.23789,10.61670,10.03315,9.65668,9.31784,8.97901,8.96019,9.09196,8.80960,8.96019,8.92254,9.24255,9.41196,9.58138,9.41196,9.80727,9.71315,10.20257,10.50375,11.12494,11.38848,12.02849,12.36732,12.76262,13.15793,13.59088,13.77912,14.32501,14.45678,14.56972,14.23089,14.66384,14.60737,14.38148,14.17442,14.15559,13.81676,14.04265,13.76029,13.89206,13.77912,13.77912,13.64735,13.64735,13.47793,13.15793,13.25205,13.42146,13.55323,13.42146,13.38381,13.94853,13.60970,13.53440,13.66617,14.17442,14.66384,15.24738,16.18858,16.82859,17.26154,17.37449,17.22389,17.28037,16.58388,16.47094,15.75563,15.47327,15.05914,14.85208,14.55090,14.38148,13.87324,13.21440,12.80027,12.74380,12.25438,12.42379,12.02849,12.14143,11.63319,15.17209,14.34383,14.94620,13.81676
2008,Gwawley Bay 33_11kV,07MAY2007,MW,13.21440,12.17908,11.50142,12.68733,13.36499,13.89206,13.19557,12.46144,11.63319,11.67084,11.27553,11.63319,10.78611,10.37198,10.33434,10.10845,10.03315,9.80727,9.99551,10.08963,10.84258,11.12494,11.29436,12.29203,13.98618,14.55090,15.51092,15.11561,16.58388,17.60037,18.29686,18.80510,19.36982,19.12511,19.25688,19.12511,19.59571,19.80277,19.52041,20.08513,20.08513,20.61220,20.49926,20.38631,20.42396,20.36749,20.16043,20.48043,20.44279,20.08513,20.21690,20.19807,20.55573,20.19807,20.38631,20.10396,20.27337,20.49926,20.44279,20.10396,19.59571,19.35100,19.20041,18.86158,19.06864,19.01217,19.25688,19.68983,20.48043,21.27104,21.55340,21.55340,21.32751,21.12045,20.53691,20.21690,19.68983,18.91805,18.86158,18.56039,17.93920,17.37449,16.92271,16.09446,15.62386,15.24738,14.77678,14.26854,13.72264,13.21440,12.98851,12.68733,15.98152,15.05914,15.84975,14.38148
2008,Gwawley Bay 33_11kV,08MAY2007,MW,13.55323,12.51791,11.89672,13.19557,13.83559,14.32501,13.72264,12.93204,12.34850,12.25438,11.50142,12.02849,11.12494,10.71082,10.25904,10.14610,10.37198,10.22139,10.03315,10.22139,11.04965,11.29436,11.84025,12.51791,14.26854,15.02149,16.35799,15.81210,16.60270,17.67567,18.33451,19.08746,19.35100,19.35100,19.59571,19.93454,19.80277,19.76512,19.91572,19.70865,19.87807,19.36982,19.57689,19.65218,19.87807,19.76512,20.02866,20.27337,20.27337,19.87807,19.76512,19.87807,20.08513,19.93454,19.99101,20.08513,20.36749,20.42396,20.02866,19.82160,20.19807,19.97219,20.10396,20.02866,19.57689,19.65218,19.93454,20.02866,20.93221,21.49693,21.57222,21.45928,21.10162,20.76279,20.59338,20.21690,19.40747,18.69216,18.46627,17.88273,17.56272,17.26154,16.92271,16.41447,15.79328,15.28503,14.55090,14.23089,13.98618,13.19557,13.10145,12.63086,15.98152,14.88973,15.75563,14.15559
2008,Gwawley Bay 33_11kV,09MAY2007,MW,13.59088,12.63086,11.78378,13.27087,13.98618,14.43795,13.55323,12.70615,12.02849,11.89672,11.33200,11.72731,11.12494,10.59787,10.14610,10.25904,10.20257,10.16492,10.42846,10.93670,11.27553,11.57672,11.72731,12.85674,14.34383,14.90855,16.47094,15.86857,17.11095,18.22156,19.01217,19.70865,,,,,,,,,,,,,,,20.53691,20.61220,20.61220,20.21690,20.10396,20.31102,19.85924,19.91572,20.19807,20.21690,19.99101,20.25455,19.80277,19.63336,19.74630,19.57689,20.38631,20.08513,19.93454,20.14160,20.27337,20.78162,21.15810,21.55340,21.96752,21.15810,21.40281,21.00750,20.48043,20.25455,19.48277,18.74863,18.33451,18.10862,17.76979,17.26154,16.69682,16.47094,15.62386,15.22856,14.85208,14.34383,13.98618,13.36499,13.15793,12.25438,15.69916,14.94620,15.45445,14.40031
2008,Gwawley Bay 33_11kV,10MAY2007,MW,13.94853,12.70615,11.67084,13.27087,13.76029,14.49442,13.87324,12.68733,12.02849,11.97202,11.35083,11.84025,10.82376,10.39081,10.33434,9.93903,10.14610,9.93903,10.20257,10.61670,11.18141,11.33200,11.74613,12.63086,14.45678,15.51092,16.58388,16.35799,17.71332,18.74863,19.20041,19.93454,20.04748,20.21690,20.31102,20.55573,20.70632,20.49926,20.02866,20.44279,20.49926,20.32984,19.91572,20.16043,20.02866,19.85924,19.97219,19.74630,19.74630,19.70865,19.48277,19.29453,19.29453,19.31335,19.48277,19.03099,19.01217,19.25688,19.20041,18.95570,18.80510,18.56039,18.91805,18.50392,18.80510,18.95570,19.52041,19.80277,20.53691,21.32751,21.74164,21.32751,20.95103,20.87574,20.44279,20.25455,19.36982,19.08746,18.63569,18.56039,18.16509,17.48743,17.03565,16.54623,15.69916,15.30385,14.79561,14.43795,13.94853,13.32734,13.70382,12.68733,16.18858,15.34150,15.73680,14.55090
2008,Gwawley Bay 33_11kV,11MAY2007,MW,13.64735,12.48026,11.85907,13.15793,13.77912,14.55090,13.27087,12.53674,12.00967,11.91555,10.95553,11.68966,10.61670,10.37198,9.97668,10.27786,9.80727,9.80727,10.05198,10.33434,11.01200,10.99317,11.72731,12.98851,14.38148,15.73680,16.97918,16.26387,17.28037,18.46627,18.95570,19.97219,20.53691,20.53691,20.44279,21.06398,20.70632,20.21690,20.38631,19.99101,20.08513,20.19807,19.74630,19.63336,19.76512,19.57689,19.65218,19.31335,19.57689,19.57689,19.03099,18.91805,19.42629,19.14393,19.06864,18.80510,18.89922,18.95570,18.57922,18.29686,18.29686,18.22156,17.93920,18.05215,17.93920,17.84508,18.35333,18.22156,19.29453,19.80277,20.21690,20.02866,20.16043,19.59571,19.06864,18.95570,18.24039,17.99568,17.61920,17.28037,16.82859,16.80977,16.41447,15.64268,15.41680,14.73914,14.66384,14.09912,13.89206,13.49676,13.36499,12.64968,16.01916,15.41680,15.96269,14.90855
2008,Gwawley Bay 33_11kV,12MAY2007,MW,13.94853,12.68733,12.02849,13.10145,13.81676,14.40031,13.42146,12.51791,11.78378,11.97202,11.12494,11.46377,10.54140,9.88256,9.93903,9.43079,9.46844,9.29902,9.26137,9.48726,9.48726,9.75079,10.08963,10.25904,10.95553,11.21906,11.55789,11.38848,12.25438,12.93204,13.89206,14.79561,14.94620,15.36033,15.75563,16.26387,16.71565,16.71565,17.05448,16.48976,16.69682,16.24505,16.37682,16.13211,16.07563,15.90622,15.75563,15.90622,15.36033,15.28503,15.13444,15.11561,14.73914,14.88973,14.83326,14.49442,14.51325,14.23089,14.43795,14.38148,14.26854,14.23089,14.40031,14.83326,15.00267,15.22856,15.81210,16.47094,16.92271,17.88273,18.35333,18.46627,18.22156,18.07097,17.44978,17.31801,16.43329,16.26387,15.84975,15.34150,15.02149,14.94620,14.51325,14.06147,13.83559,13.42146,13.13910,12.59321,12.68733,12.40497,12.51791,12.02849,15.62386,15.05914,15.90622,14.49442
2008,Gwawley Bay 33_11kV,13MAY2007,MW,14.26854,12.64968,12.00967,13.08263,13.87324,14.23089,13.13910,12.85674,11.97202,12.17908,11.10612,11.67084,10.67317,10.25904,9.80727,9.46844,9.29902,8.97901,8.97901,8.92254,8.84725,8.92254,9.20490,9.29902,9.92021,10.10845,10.05198,9.99551,10.54140,10.89905,11.55789,12.23555,12.76262,13.04498,13.27087,13.87324,13.89206,14.06147,14.26854,14.94620,14.77678,15.11561,15.00267,14.43795,14.83326,14.55090,14.23089,13.92971,14.17442,13.72264,13.49676,13.49676,13.53440,13.53440,13.30852,13.19557,12.96969,13.08263,12.81910,13.13910,13.02616,12.93204,13.10145,13.04498,13.27087,13.30852,14.00500,14.38148,15.02149,15.98152,16.13211,16.43329,16.80977,16.71565,16.54623,16.30152,15.98152,15.62386,15.45445,15.13444,15.00267,14.55090,14.17442,13.81676,13.44028,13.15793,12.96969,12.40497,12.23555,11.84025,11.95319,11.21906,14.83326,14.06147,14.96502,13.89206
2008,Gwawley Bay 33_11kV,14MAY2007,MW,13.08263,11.95319,11.44495,12.59321,13.38381,13.92971,13.13910,12.17908,11.74613,11.67084,10.93670,11.61436,10.67317,10.37198,9.75079,9.52491,9.82609,9.82609,9.71315,10.03315,10.61670,10.95553,11.40730,12.34850,13.47793,14.68266,16.09446,15.90622,16.69682,17.99568,18.78628,19.82160,20.25455,19.85924,19.76512,19.80277,20.04748,19.93454,19.65218,20.14160,20.44279,20.48043,20.44279,20.25455,20.19807,20.27337,20.42396,20.42396,20.72514,20.64985,20.08513,20.04748,20.02866,20.02866,20.25455,19.74630,20.10396,19.59571,19.68983,19.36982,19.68983,19.35100,19.25688,19.12511,19.01217,19.18158,19.42629,19.63336,20.16043,21.00750,21.51575,21.45928,21.27104,21.15810,20.08513,20.25455,19.35100,18.63569,18.44745,18.18391,17.71332,16.97918,16.77212,16.26387,15.51092,15.17209,14.62619,14.15559,13.59088,12.63086,12.81910,12.06614,15.41680,14.68266,15.47327,14.15559
2008,Gwawley Bay 33_11kV,15MAY2007,MW,13.30852,12.19791,11.67084,13.02616,13.76029,14.28736,13.47793,12.40497,11.78378,11.67084,10.78611,11.46377,10.82376,10.20257,9.93903,9.48726,10.03315,9.71315,9.65668,10.08963,10.59787,10.93670,11.46377,12.25438,13.94853,15.22856,16.54623,15.79328,16.86624,18.12744,18.72981,19.46394,19.82160,19.68983,19.68983,19.93454,20.02866,19.91572,19.87807,20.25455,20.19807,20.31102,19.87807,20.10396,19.91572,20.10396,19.91572,20.14160,19.97219,19.76512,19.74630,19.40747,19.97219,19.87807,19.85924,20.14160,20.10396,19.76512,20.02866,20.21690,19.68983,19.53924,19.46394,19.35100,19.48277,19.46394,19.42629,20.10396,20.70632,21.45928,21.44045,21.40281,21.34633,20.89456,20.48043,20.08513,19.82160,18.97452,18.89922,18.67334,17.95803,17.44978,17.37449,16.54623,15.79328,15.58621,14.96502,14.28736,13.60970,13.08263,13.13910,12.42379,15.73680,14.96502,15.30385,14.17442
2008,Gwawley Bay 33_11kV,16MAY2007,MW,13.27087,12.17908,11.68966,13.25205,13.77912,11.97202,11.01200,10.25904,9.69432,9.35549,9.07313,12.63086,10.82376,10.95553,10.22139,9.92021,9.76962,9.71315,9.86374,10.16492,10.95553,11.01200,11.74613,12.53674,13.94853,15.02149,15.98152,15.41680,16.48976,17.54390,18.57922,18.97452,19.74630,19.36982,19.40747,19.14393,19.42629,19.87807,19.29453,19.70865,19.63336,19.31335,19.14393,19.31335,19.59571,19.53924,19.76512,19.70865,19.53924,19.59571,19.46394,19.46394,19.97219,20.10396,20.02866,20.25455,20.32984,20.04748,20.14160,19.85924,19.97219,19.70865,19.68983,19.40747,19.23805,19.76512,19.59571,19.82160,20.36749,21.00750,21.10162,20.98868,20.83809,20.78162,20.38631,19.80277,19.31335,18.72981,18.72981,17.99568,17.43096,16.94154,16.64035,16.15093,15.69916,15.30385,15.00267,14.28736,13.83559,12.96969,12.74380,12.14143,15.58621,14.94620,15.68033,14.04265
2008,Gwawley Bay 33_11kV,17MAY2007,MW,13.30852,12.12261,11.61436,13.15793,13.60970,14.17442,13.19557,12.53674,11.61436,11.72731,10.93670,11.27553,10.42846,10.10845,10.14610,9.54373,9.58138,9.60020,9.71315,10.10845,10.71082,11.04965,11.67084,12.53674,14.21207,15.13444,16.24505,15.73680,16.75330,17.56272,18.22156,19.03099,19.40747,19.52041,19.52041,19.20041,19.91572,19.82160,19.70865,20.04748,20.04748,19.76512,19.93454,19.87807,19.87807,19.99101,20.42396,20.44279,20.16043,20.36749,20.08513,20.10396,20.10396,20.27337,20.25455,20.10396,20.48043,20.32984,20.16043,19.70865,19.93454,19.48277,19.65218,19.59571,19.42629,19.68983,19.91572,20.04748,21.10162,21.04515,21.83576,21.68517,21.34633,21.21457,20.93221,20.27337,19.70865,19.36982,19.36982,18.84275,18.24039,17.67567,17.50625,16.86624,16.09446,15.90622,15.17209,14.56972,14.23089,13.38381,13.36499,12.53674,16.13211,15.07797,15.36033,14.15559
2008,Gwawley Bay 33_11kV,18MAY2007,MW,13.42146,12.14143,11.50142,13.27087,13.77912,14.28736,13.36499,12.53674,11.80260,11.89672,11.21906,11.74613,10.76729,10.20257,10.05198,9.88256,9.93903,10.14610,10.20257,10.78611,11.01200,11.23789,11.80260,12.64968,14.55090,15.52974,16.77212,16.48976,17.71332,18.46627,19.25688,19.93454,20.44279,20.32984,20.70632,20.59338,20.93221,20.98868,20.81926,20.93221,20.98868,21.45928,20.81926,20.64985,20.32984,20.19807,20.27337,20.14160,20.38631,20.16043,20.32984,19.93454,19.93454,19.97219,19.76512,19.70865,19.57689,19.52041,19.23805,19.29453,18.67334,18.46627,18.35333,18.50392,18.01450,18.46627,18.89922,19.12511,19.59571,20.49926,20.49926,20.10396,19.99101,19.91572,19.29453,19.01217,18.63569,18.16509,18.05215,17.60037,17.37449,17.05448,16.69682,15.81210,15.52974,15.05914,14.60737,13.98618,13.77912,13.15793,13.04498,12.57438,16.13211,15.17209,16.03799,14.72031
2008,Gwawley Bay 33_11kV,19MAY2007,MW,13.81676,12.80027,11.84025,13.21440,13.64735,14.49442,13.60970,12.59321,12.00967,12.00967,11.01200,11.35083,10.37198,10.03315,9.86374,9.37432,9.26137,9.12961,8.97901,9.20490,9.43079,9.69432,10.08963,10.54140,10.59787,10.95553,11.55789,11.57672,12.51791,12.96969,13.49676,14.34383,15.02149,15.56739,15.75563,16.32035,16.80977,16.80977,16.69682,16.71565,16.60270,16.77212,16.71565,16.32035,16.32035,16.09446,16.07563,15.51092,15.07797,15.11561,14.96502,14.79561,15.05914,15.13444,15.11561,14.68266,14.83326,14.43795,14.17442,14.21207,13.94853,14.09912,13.98618,14.21207,14.34383,14.90855,14.94620,15.56739,16.65918,17.82626,18.01450,18.24039,18.01450,17.95803,17.33684,17.05448,16.52741,16.13211,15.73680,15.45445,15.13444,14.85208,14.88973,14.26854,14.11795,13.66617,13.42146,13.10145,12.91321,12.63086,12.70615,12.31085,16.01916,15.13444,16.20740,14.83326
2008,Gwawley Bay 33_11kV,20MAY2007,MW,14.11795,13.13910,12.12261,13.59088,14.26854,14.51325,13.72264,12.91321,12.40497,12.57438,11.61436,11.89672,10.93670,10.33434,9.97668,9.76962,9.43079,9.29902,9.24255,9.14843,9.14843,9.29902,9.35549,9.63785,9.97668,10.16492,10.25904,9.99551,10.65434,11.04965,11.50142,12.12261,12.85674,12.98851,13.59088,13.94853,14.21207,14.26854,14.21207,14.66384,14.94620,14.73914,14.68266,14.73914,14.43795,14.23089,14.40031,14.45678,14.23089,14.23089,13.87324,14.15559,13.94853,14.06147,13.60970,13.55323,13.55323,13.36499,13.44028,13.60970,13.53440,13.42146,13.49676,13.66617,13.76029,14.04265,14.68266,15.51092,16.65918,17.61920,18.18391,18.24039,18.40980,18.56039,18.18391,18.07097,17.37449,17.33684,16.58388,16.20740,15.92504,15.62386,14.94620,14.51325,14.04265,13.72264,13.30852,12.93204,12.57438,12.14143,12.31085,11.68966,15.62386,14.66384,15.36033,14.11795
2008,Gwawley Bay 33_11kV,21MAY2007,MW,13.32734,12.19791,11.44495,13.04498,13.81676,14.49442,13.44028,12.68733,12.08496,12.25438,11.16259,12.06614,11.04965,10.54140,10.16492,10.05198,10.25904,9.93903,9.99551,10.27786,11.06847,11.21906,11.68966,12.64968,13.94853,15.34150,16.41447,15.73680,16.88506,17.73214,18.35333,19.70865,20.08513,20.10396,20.27337,20.21690,20.08513,19.85924,19.82160,20.08513,19.97219,19.68983,19.99101,19.82160,19.87807,19.99101,19.63336,19.76512,19.74630,19.52041,19.40747,19.25688,19.42629,19.70865,19.68983,19.68983,19.63336,19.53924,19.08746,19.48277,19.25688,19.12511,18.78628,18.80510,19.18158,19.63336,19.93454,20.38631,21.04515,21.72281,21.94870,22.11812,21.91105,21.49693,21.15810,20.66867,20.25455,19.76512,19.35100,18.84275,18.57922,18.12744,17.65684,17.16742,16.47094,15.86857,15.22856,14.68266,14.04265,13.53440,13.25205,12.53674,15.79328,14.96502,15.98152,14.43795
2008,Gwawley Bay 33_11kV,22MAY2007,MW,13.89206,12.57438,11.67084,13.19557,14.04265,14.56972,13.55323,13.10145,12.29203,12.29203,11.55789,12.29203,11.04965,10.65434,10.54140,10.48493,10.25904,10.22139,10.61670,10.72964,11.44495,11.46377,12.23555,12.53674,14.21207,15.41680,16.64035,16.15093,17.48743,18.84275,19.23805,20.02866,20.38631,20.21690,19.93454,20.38631,20.53691,20.16043,20.21690,20.36749,20.44279,20.42396,20.16043,20.27337,20.16043,19.70865,19.74630,19.76512,19.85924,19.46394,19.29453,19.42629,19.76512,19.36982,19.76512,19.20041,19.20041,18.86158,18.97452,19.48277,18.95570,19.14393,19.03099,19.06864,19.57689,19.63336,20.48043,21.28986,22.45695,23.09696,23.47344,23.69933,23.81227,23.66168,23.26638,23.20990,22.64519,21.89223,21.72281,21.34633,20.87574,20.36749,19.82160,19.06864,18.57922,17.82626,17.16742,16.43329,15.84975,14.85208,14.43795,13.47793,16.92271,16.09446,16.88506,15.30385
2008,Gwawley Bay 33_11kV,23MAY2007,MW,14.62619,13.66617,12.80027,13.94853,14.73914,15.41680,14.72031,13.94853,13.10145,13.27087,12.25438,13.13910,11.89672,11.38848,11.16259,10.93670,10.59787,10.82376,10.88023,10.84258,11.68966,12.08496,13.02616,13.72264,15.96269,16.71565,18.07097,17.67567,18.97452,20.27337,20.78162,21.57222,21.72281,22.28753,21.77928,21.96752,21.74164,21.44045,20.76279,21.04515,20.66867,20.53691,20.48043,20.14160,20.04748,20.08513,19.80277,20.21690,19.76512,19.76512,19.29453,19.48277,19.42629,19.57689,19.36982,18.72981,19.25688,19.14393,19.25688,19.12511,18.86158,18.40980,18.84275,18.84275,18.72981,19.36982,20.49926,20.78162,21.77928,22.75813,23.04049,23.36049,23.54873,23.09696,22.85225,22.75813,22.28753,22.02400,21.57222,21.23339,20.61220,20.04748,19.63336,19.53924,18.89922,18.01450,17.56272,16.69682,16.20740,15.30385,15.00267,13.98618,17.37449,16.26387,16.92271,15.36033
2008,Gwawley Bay 33_11kV,24MAY2007,MW,14.66384,13.59088,12.93204,14.38148,14.90855,15.39797,14.77678,13.94853,13.27087,13.59088,12.70615,13.36499,12.34850,11.68966,11.27553,11.04965,11.04965,10.88023,11.04965,11.27553,12.23555,12.31085,12.96969,13.83559,15.92504,17.22389,18.18391,17.67567,19.53924,20.53691,21.32751,21.49693,22.00517,21.89223,21.45928,21.79811,21.72281,21.34633,20.76279,21.32751,21.00750,21.00750,20.36749,20.49926,20.25455,20.25455,19.70865,19.85924,19.46394,19.53924,19.36982,19.14393,19.40747,19.48277,19.46394,19.31335,19.52041,19.20041,19.18158,19.03099,18.89922,18.74863,19.01217,19.23805,19.14393,19.76512,20.36749,20.59338,21.51575,22.68283,23.02166,23.20990,23.64285,23.24755,22.90872,23.13461,22.64519,22.68283,22.13694,21.72281,21.45928,21.06398,20.59338,20.16043,18.91805,18.46627,18.05215,16.88506,16.54623,15.79328,15.34150,14.49442,17.67567,16.75330,17.37449,15.92504
2008,Gwawley Bay 33_11kV,25MAY2007,MW,14.96502,13.87324,13.02616,14.45678,15.00267,15.58621,14.88973,14.21207,13.44028,13.66617,12.64968,13.30852,12.36732,11.46377,11.01200,10.93670,10.67317,10.72964,10.72964,10.89905,11.35083,11.84025,12.42379,13.32734,15.02149,16.24505,17.54390,17.54390,18.61686,19.93454,20.21690,20.83809,21.34633,21.66634,21.15810,21.60987,21.17692,20.66867,20.21690,20.25455,20.25455,20.14160,19.80277,19.82160,19.36982,19.36982,19.18158,18.84275,18.95570,18.40980,18.35333,18.40980,18.22156,18.16509,18.44745,18.10862,18.24039,18.05215,17.71332,17.73214,17.65684,17.76979,17.82626,17.73214,17.88273,18.33451,18.46627,19.08746,20.38631,21.00750,20.95103,21.55340,21.40281,21.38398,20.98868,20.64985,20.19807,19.74630,19.59571,19.01217,18.78628,18.50392,18.05215,17.76979,17.26154,16.60270,16.41447,15.79328,15.36033,14.11795,13.92971,13.66617,17.20507,16.01916,16.80977,15.45445
2008,Gwawley Bay 33_11kV,26MAY2007,MW,14.73914,13.42146,12.57438,13.64735,14.45678,14.96502,14.21207,13.38381,12.74380,12.76262,11.74613,12.48026,11.50142,11.01200,10.39081,10.08963,9.92021,9.92021,9.65668,9.65668,9.86374,10.10845,10.89905,11.04965,11.91555,12.51791,12.74380,12.59321,13.55323,14.62619,15.36033,15.86857,16.71565,17.26154,17.71332,17.95803,18.39098,18.05215,17.90156,17.73214,17.28037,17.14860,16.97918,16.26387,16.43329,16.35799,16.13211,15.92504,15.62386,15.58621,15.05914,15.22856,14.56972,14.79561,14.66384,14.32501,14.15559,14.04265,14.17442,14.04265,14.40031,14.45678,14.77678,15.11561,15.02149,16.01916,17.28037,17.99568,19.53924,20.27337,20.72514,21.10162,20.93221,20.38631,20.36749,19.76512,19.42629,18.89922,18.69216,18.39098,17.82626,17.93920,17.37449,17.05448,16.52741,16.18858,15.92504,15.11561,15.00267,14.56972,14.23089,13.98618,17.33684,16.47094,17.11095,15.98152
